date,000933.CSI_open,000933.CSI_high,000933.CSI_low,000933.CSI_close,000933.CSI_change,000933.CSI_amount,000933.CSI_volume
4/25/2016,8392.35,8392.57,8271.04,8370.21,-0.0043,9432.1,447128000
4/26/2016,8355.56,8461.79,8355.56,8461.37,0.0109,8802.79,426979900
4/27/2016,8473.48,8503.27,8412.49,8424.53,-0.0044,9926.26,468086500
4/28/2016,8428.78,8448.09,8282.48,8400.26,-0.0029,10543.14,542361000
4/29/2016,8364.2,8422.03,8346.94,8394.27,-0.0007,8115.72,391916300
5/3/2016,8376.32,8625.73,8339.81,8625.45,0.0275,14101.25,681071600
5/4/2016,8597.59,8678.53,8590.15,8616.29,-0.0011,11586.24,574514900
5/5/2016,8597.86,8630.06,8544.96,8619.54,0.0004,9189.77,447818800
5/6/2016,8623.78,8644.59,8358.28,8358.28,-0.0303,13601.39,687016100
5/9/2016,8302.11,8302.11,8119.65,8156.19,-0.0242,10273.43,553291300
5/10/2016,8136.37,8186.46,8121.4,8148.32,-0.001,6886.65,361564300
5/11/2016,8187.13,8430.68,8180.81,8300.13,0.0186,13406.08,644803100
5/12/2016,8200.09,8288.04,8116.87,8275.67,-0.0029,9486.62,484919100
5/13/2016,8247.2,8341.43,8199.46,8247.26,-0.0034,8028.11,395737200
5/16/2016,8216.08,8358.7,8178.43,8357.8,0.0134,9379.59,465935500
5/17/2016,8364.22,8447.06,8290.93,8370.81,0.0016,10200.39,522536100
5/18/2016,8310.72,8310.72,8131.17,8210.09,-0.0192,9731.48,519906800
5/19/2016,8195.9,8310.6,8192.8,8200.59,-0.0012,7955.5,404750000
5/20/2016,8148.76,8263.76,8126.96,8263.76,0.0077,7055.81,353574700
5/23/2016,8276.93,8319.31,8262.56,8306.83,0.0052,8650.43,419801000
5/24/2016,8293.82,8294.57,8195.85,8234.83,-0.0087,7029.9,353866400
5/25/2016,8272.75,8302.49,8173.04,8184.45,-0.0061,7190.29,360522700
5/26/2016,8179.48,8216.41,8062.21,8210.56,0.0032,7747.95,401677700
5/27/2016,8192.65,8225.39,8154.06,8193.47,-0.0021,6395.42,318545800
5/30/2016,8160.16,8206.04,8086.93,8146.85,-0.0057,5749.31,284214000
5/31/2016,8155.9,8427.09,8155.9,8427.09,0.0344,14074.98,722733900
6/1/2016,8434.39,8491.57,8416.66,8423.31,-0.0004,12420.11,616608000
