,中国:日均销量(厂家零售):乘用车
2016-12-12,69007.0
2016-12-13,69007.0
2016-12-14,69007.0
2016-12-15,69007.0
2016-12-16,77004.0
2016-12-19,77004.0
2016-12-20,77004.0
2016-12-21,77004.0
2016-12-22,77004.0
2016-12-23,77298.0
2016-12-26,77298.0
2016-12-27,77298.0
2016-12-28,77298.0
2016-12-29,77298.0
2016-12-30,77298.0
2017-01-03,86885.0
2017-01-04,86885.0
2017-01-05,86885.0
2017-01-06,65870.0
2017-01-09,65870.0
2017-01-10,65870.0
2017-01-11,65870.0
2017-01-12,65870.0
2017-01-13,62890.0
2017-01-16,62890.0
2017-01-17,62890.0
2017-01-18,62890.0
2017-01-19,63607.0
2017-01-20,68651.0
2017-01-23,68651.0
2017-01-24,68651.0
2017-01-25,68651.0
2017-01-26,68651.0
2017-02-03,68651.0
2017-02-06,68651.0
2017-02-07,68651.0
2017-02-08,68651.0
2017-02-09,68651.0
2017-02-10,33461.0
2017-02-13,33461.0
2017-02-14,33461.0
2017-02-15,33461.0
2017-02-16,33461.0
2017-02-17,42681.0
2017-02-20,42681.0
2017-02-21,42681.0
2017-02-22,42681.0
2017-02-23,42681.0
2017-02-24,48674.0
2017-02-27,48674.0
2017-02-28,83205.0
2017-03-01,83205.0
2017-03-02,83205.0
2017-03-03,47804.0
2017-03-06,47804.0
2017-03-07,47804.0
2017-03-08,47804.0
2017-03-09,47804.0
2017-03-10,39766.0
2017-03-13,39766.0
2017-03-14,39766.0
2017-03-15,39766.0
2017-03-16,39766.0
2017-03-17,45909.0
2017-03-20,45909.0
2017-03-21,45909.0
2017-03-22,45909.0
2017-03-23,45909.0
2017-03-24,49323.0
2017-03-27,49323.0
2017-03-28,49323.0
2017-03-29,49323.0
2017-03-30,49323.0
2017-03-31,83170.0
2017-04-05,83170.0
2017-04-06,83170.0
2017-04-07,30525.0
2017-04-10,30525.0
2017-04-11,30525.0
2017-04-12,30525.0
2017-04-13,30525.0
2017-04-14,43235.0
2017-04-17,43235.0
2017-04-18,43235.0
2017-04-19,43235.0
2017-04-20,43235.0
2017-04-21,48451.0
2017-04-24,48451.0
2017-04-25,48451.0
2017-04-26,48451.0
2017-04-27,48451.0
2017-04-28,48451.0
2017-05-02,48451.0
2017-05-03,48451.0
2017-05-04,48451.0
2017-05-05,45555.0
2017-05-08,45555.0
2017-05-09,45555.0
2017-05-10,45555.0
2017-05-11,45555.0
2017-05-12,46252.0
2017-05-15,46252.0
2017-05-16,46252.0
2017-05-17,46252.0
2017-05-18,46252.0
2017-05-19,44480.0
2017-05-22,44480.0
2017-05-23,44480.0
2017-05-24,44480.0
2017-05-25,44480.0
2017-05-26,44480.0
2017-05-31,58932.0
2017-06-01,58932.0
2017-06-02,58932.0
2017-06-05,58932.0
2017-06-06,58932.0
2017-06-07,58932.0
2017-06-08,58932.0
2017-06-09,38313.0
2017-06-12,38313.0
2017-06-13,38313.0
2017-06-14,38313.0
2017-06-15,38313.0
2017-06-16,42223.0
2017-06-19,42223.0
2017-06-20,42223.0
2017-06-21,42223.0
2017-06-22,42223.0
2017-06-23,49226.0
2017-06-26,49226.0
2017-06-27,49226.0
