,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume
2021-12-03,70.22,72.62,69.24,70.14,331824.0
2021-12-06,70.24,73.8,70.24,73.6,255401.0
2021-12-07,73.6,76.27,73.2,75.33,312282.0
2021-12-08,75.44,76.37,74.38,75.93,322080.0
2021-12-09,75.94,76.7,73.84,74.01,283389.0
2021-12-10,73.99,75.71,73.8,75.27,221360.0
2021-12-13,75.37,76.39,74.2,74.32,265514.0
2021-12-14,74.42,75.16,72.57,73.27,277860.0
2021-12-15,73.25,74.58,72.5,74.42,233190.0
2021-12-16,74.47,75.61,74.0,74.62,223637.0
2021-12-17,74.5,74.98,72.65,72.87,231412.0
2021-12-20,72.82,72.87,69.28,72.08,333764.0
2021-12-21,71.88,74.27,71.24,74.01,214067.0
2021-12-22,74.05,75.67,73.62,75.65,166713.0
2021-12-23,75.43,76.8,74.75,76.51,213229.0
2021-12-24,76.62,76.62,75.39,75.59,40254.0
2021-12-27,76.07,78.68,75.38,78.62,143561.0
2021-12-28,78.32,79.48,78.06,78.82,157427.0
2021-12-29,78.93,80.03,78.1,79.2,255372.0
2021-12-30,79.06,80.02,78.41,79.14,211586.0
2021-12-31,78.81,79.68,77.55,77.94,148959.0
2022-01-04,78.91,80.55,78.62,80.16,291677.0
2022-01-05,80.07,81.5,79.51,80.24,331736.0
2022-01-06,80.22,82.83,79.61,81.98,353156.0
2022-01-07,82.0,83.0,81.42,81.93,286113.0
2022-01-10,81.76,82.3,80.5,81.0,300651.0
2022-01-11,81.08,83.98,80.89,83.75,324941.0
2022-01-12,83.78,85.21,83.52,84.84,301386.0
2022-01-13,84.87,85.1,83.79,84.11,265203.0
2022-01-14,84.12,86.5,83.99,86.47,304718.0
2022-01-17,86.15,86.71,85.54,86.53,139817.0
2022-01-18,86.47,88.66,86.44,88.57,356876.0
2022-01-19,88.65,89.17,87.61,87.72,350935.0
2022-01-20,87.89,89.5,87.05,87.48,279524.0
2022-01-21,86.75,88.23,85.71,87.9,288214.0
2022-01-24,87.93,88.9,85.04,87.17,309894.0
