指标名称,中关村电子产品价格指数:手机通讯,光伏行业综合价格指数(SPI):硅片_x,现货价(周平均价):多晶硅片(156mm×156mm),光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片_y,光伏经理人指数(SMI):全行业
2013-01-02,,,0.807,,,,
2013-01-09,,,0.807,,,,
2013-01-16,,,0.808,,,,
2013-01-23,,,0.819,,,,
2013-01-30,,,0.822,,,,
2013-02-06,,,0.837,,,,
2013-02-13,,,0.84,,,,
2013-02-20,,,0.849,,,,
2013-02-27,,,0.851,,,,
2013-03-06,,,0.859,,,,
2013-03-13,,,0.861,,,,
2013-03-20,,,0.862,,,,
2013-03-27,,,0.862,,,,
2013-04-03,,,0.862,,,,
2013-04-10,,,0.862,,,,
2013-04-17,,,0.852,,,,
2013-04-23,,,,,,,
2013-04-24,,,0.845,,,,
2013-04-30,,,,,,,
2013-05-01,,,0.842,,,,
2013-05-07,,,,,,,
2013-05-08,,,0.842,,,,
2013-05-14,,,,,,,
2013-05-15,,,0.842,,,,
2013-05-21,,,,,,,
2013-05-22,,,0.842,,,,
2013-05-28,,,,,,,
2013-05-29,,,0.842,,,,
2013-06-04,,,,,,,
2013-06-05,,,0.842,,,,
2013-06-12,,,0.842,,,,
2013-06-18,,,,,,,
2013-06-19,,,0.842,,,,
2013-06-25,,,,,,,
2013-06-26,,,0.843,,,,
2013-07-02,,,,,,,
2013-07-03,,,0.844,,,,
2013-07-09,,,,,,,
2013-07-10,,,0.844,,,,
2013-07-16,,,,,,,
2013-07-17,,,0.844,,,,
2013-07-23,,,,,,,
2013-07-24,,,0.84,,,,
2013-07-30,,,,,,,
2013-07-31,,,0.839,,,,
2013-08-06,,,,,,,
2013-08-07,,,0.838,,,,
2013-08-13,,,,,,,
2013-08-14,,,0.838,,,,
2013-08-20,,,,,,,
2013-08-21,,,0.837,,,,
2013-08-24,67.86,,,,,,
2013-08-27,,,,,,,
2013-08-28,,,0.835,,,,
2013-08-31,67.86,,,,,,
2013-09-03,,,,,,,
2013-09-04,,,0.84,,,,
2013-09-07,67.17,,,,,,
2013-09-10,,,,,,,
2013-09-11,,,0.847,,,,
2013-09-14,67.56,,,,,,
2013-09-17,,,,,,,
2013-09-18,,,0.847,,,,
2013-09-21,67.55,,,,,,
2013-09-24,,,,,,,
2013-09-25,,,0.85,,,,
2013-09-28,67.07,,,,,,
2013-10-02,,,0.85,,,,
2013-10-05,67.07,,,,,,
2013-10-08,,,,,,,
2013-10-09,,,0.86,,,,
2013-10-12,67.07,,,,,,
2013-10-15,,,,,,,
2013-10-16,,,0.866,,,,
2013-10-19,67.07,,,,,,
2013-10-22,,,,,,,
2013-10-23,,,0.866,,,,
2013-10-26,67.56,,,,,,
2013-10-29,,,,,,,
2013-10-30,,,0.873,,,,
2013-11-02,67.55,,,,,,
2013-11-05,,,,,,,
2013-11-06,,,0.873,,,,
2013-11-09,67.55,,,,,,
2013-11-12,,,,,,,
2013-11-13,,,0.874,,,,
2013-11-16,67.55,,,,,,
2013-11-19,,,,,,,
2013-11-20,,,0.874,,,,
2013-11-23,67.55,,,,,,
2013-11-26,,,,,,,
2013-11-27,,,0.874,,,,
2013-11-30,67.55,,,,,,
2013-12-03,,,,,,,
2013-12-04,,,0.881,,,,
2013-12-07,67.55,,,,,,
2013-12-10,,,,,,,
2013-12-11,,,0.9,,,,
2013-12-14,67.55,,,,,,
2013-12-17,,,,,,,
2013-12-18,,,0.902,,,,
2013-12-21,67.55,,,,,,
2013-12-24,,,,,,,
2013-12-25,,,0.921,,,,
2013-12-28,67.55,,,,,,
2013-12-31,,,,,,,
2014-01-01,,,0.926,,,,
2014-01-03,,,,,,,126.08
2014-01-04,67.55,,,,,,
2014-01-07,,,,,,,
2014-01-08,,,0.932,,,,
2014-01-10,,,,,,,125.98
2014-01-11,67.55,,,,,,
2014-01-14,,,,,,,
2014-01-15,,,0.939,,,,
2014-01-17,,,,,,,128.14
2014-01-18,67.55,,,,,,
2014-01-21,,,,,,,
2014-01-22,,,0.94,,,,
2014-01-24,,,,,,,125.3
2014-01-25,67.55,,,,,,
2014-01-28,,,,,,,
2014-01-29,,,0.941,,,,
2014-01-30,,,,,,,126.47
2014-01-31,,,,,,,127.7
2014-02-01,67.55,,,,,,
2014-02-05,,,0.941,,,,
2014-02-07,,,,,,,127.14
2014-02-08,67.55,,,,,,
2014-02-11,,,,,,,
2014-02-12,,,0.941,,,,
2014-02-14,,,,,,,127.42
2014-02-15,67.55,,,,,,
2014-02-18,,,,,,,
2014-02-19,,,0.941,,,,
2014-02-21,,,,,,,129.84
2014-02-22,67.55,,,,,,
2014-02-25,,,,,,,
2014-02-26,,,0.941,,,,
2014-02-28,,,,,,,131.87
2014-03-01,67.55,,,,,,
2014-03-04,,,,,,,
2014-03-05,,,0.941,,,,
2014-03-07,,,,,,,137.25
2014-03-08,67.55,,,,,,
2014-03-11,,,,,,,
2014-03-12,,,0.939,,,,
2014-03-14,,,,,,,138.09
2014-03-15,67.55,,,,,,
2014-03-18,,,,,,,
2014-03-19,,,0.935,,,,
2014-03-21,,,,,,,143.53
2014-03-22,67.55,,,,,,
2014-03-25,,,,,,,
2014-03-26,,,0.932,,,,
2014-03-28,,,,,,,134.25
2014-03-29,67.55,,,,,,
2014-04-01,,,,,,,
2014-04-02,,,0.927,,,,
2014-04-04,,101.53,,101.25,100.19,101.53,135.15
2014-04-05,67.55,,,,,,
2014-04-08,,,,,,,
2014-04-09,,,0.92,,,,
2014-04-11,,101.53,,101.14,100.0,101.53,129.24
2014-04-12,67.55,,,,,,
2014-04-15,,,,,,,
2014-04-16,,,0.918,,,,
2014-04-18,,101.53,,100.93,100.0,101.53,133.12
2014-04-19,67.55,,,,,,
2014-04-22,,,,,,,
2014-04-23,,,0.916,,,,
2014-04-25,,101.53,,100.89,100.0,101.53,137.96
2014-04-26,67.55,,,,,,
2014-04-29,,,,,,,
2014-04-30,,,0.909,,,,132.63
2014-05-02,,,,,,,132.27
2014-05-03,67.55,,,,,,
2014-05-06,,,,,,,
2014-05-07,,,0.899,,,,
2014-05-09,,101.03,,100.67,100.0,101.03,133.84
2014-05-10,67.55,,,,,,
2014-05-13,,,,,,,
2014-05-14,,,0.898,,,,
2014-05-16,,101.03,,100.6,100.0,101.03,131.1
2014-05-17,67.55,,,,,,
2014-05-20,,,,,,,
2014-05-21,,,0.896,,,,
2014-05-23,,101.03,,100.58,100.0,101.03,133.14
2014-05-24,67.55,,,,,,
2014-05-27,,,,,,,
2014-05-28,,,0.893,,,,
2014-05-30,,100.0,,100.0,100.0,100.0,132.79
2014-05-31,67.55,,,,,,
2014-06-03,,,,,,,
2014-06-04,,,0.885,,,,
2014-06-06,,100.0,,100.0,100.0,100.0,129.55
2014-06-07,67.55,,,,,,
2014-06-10,,,,,,,
2014-06-11,,,0.879,,,,
2014-06-13,,100.0,,100.0,100.0,100.0,134.22
2014-06-14,67.55,,,,,,
2014-06-17,,,,,,,
2014-06-18,,,0.874,,,,
2014-06-20,,100.0,,99.6,100.0,100.0,135.47
2014-06-21,67.55,,,,,,
2014-06-24,,,,,,,
2014-06-25,,,0.866,,,,
2014-06-27,,100.0,,99.57,100.0,100.0,138.06
2014-06-28,67.55,,,,,,
2014-07-01,,,,,,,
2014-07-02,,,0.861,,,,
2014-07-04,,98.63,,97.86,99.87,98.63,139.9
2014-07-05,67.55,,,,,,
2014-07-08,,,,,,,
2014-07-09,,,0.86,,,,
2014-07-11,,97.43,,97.27,99.87,97.43,138.41
2014-07-12,67.55,,,,,,
2014-07-15,,,,,,,
2014-07-16,,,0.858,,,,
2014-07-18,,96.97,,96.73,99.87,96.97,136.4
2014-07-19,67.55,,,,,,
2014-07-22,,,,,,,
2014-07-23,,,0.857,,,,
2014-07-25,,96.9,,96.64,99.87,96.9,134.24
2014-07-26,67.55,,,,,,
2014-07-29,,,,,,,
2014-07-30,,,0.853,,,,
2014-08-01,,96.26,,96.02,99.87,96.26,125.85
2014-08-02,67.55,,,,,,
2014-08-05,,,,,,,
2014-08-06,,,0.843,,,,
2014-08-08,,96.08,,95.96,99.61,96.08,133.37
2014-08-09,67.55,,,,,,
2014-08-12,,,,,,,
2014-08-13,,,0.839,,,,
2014-08-15,,95.91,,95.74,99.05,95.91,137.03
2014-08-16,67.55,,,,,,
2014-08-19,,,,,,,
2014-08-20,,,0.836,,,,
2014-08-22,,95.65,,95.46,98.69,95.65,138.34
2014-08-23,67.55,,,,,,
2014-08-26,,,,,,,
2014-08-27,,,0.835,,,,
2014-08-29,,95.62,,95.45,98.63,95.62,137.61
2014-08-30,67.55,,,,,,
2014-09-02,,,,,,,
2014-09-03,,,0.835,,,,
2014-09-05,,96.85,,95.6,100.22,96.85,142.28
2014-09-06,67.55,,,,,,
2014-09-09,,,,,,,
2014-09-10,,,0.838,,,,
2014-09-12,,96.85,,95.9,100.61,96.85,144.22
2014-09-13,67.55,,,,,,
2014-09-16,,,,,,,
2014-09-17,,,0.846,,,,
2014-09-19,,96.85,,95.95,100.61,96.85,141.16
2014-09-20,67.55,,,,,,
2014-09-23,,,,,,,
2014-09-24,,,0.855,,,,
2014-09-26,,96.85,,96.05,101.11,96.85,139.24
2014-09-27,67.55,,,,,,
2014-09-30,,,,,,,138.86
2014-10-01,,,0.855,,,,
2014-10-03,,,,,,,139.58
2014-10-04,67.55,,,,,,
2014-10-08,,,0.87,,,,
2014-10-10,,96.85,,96.05,101.11,96.85,134.92
2014-10-11,67.55,,,,,,
2014-10-15,,,0.878,,,,
2014-10-17,,96.85,,96.09,101.11,96.85,134.26
2014-10-18,67.55,,,,,,
2014-10-22,,,0.88,,,,
2014-10-24,,96.85,,96.07,100.91,96.85,136.54
2014-10-25,67.55,,,,,,
2014-10-29,,,0.88,,,,
2014-10-31,,96.45,,96.07,100.59,96.45,137.11
2014-11-01,67.55,,,,,,
2014-11-05,,,0.88,,,,
2014-11-07,,95.61,,96.03,100.49,95.61,136.59
2014-11-08,67.55,,,,,,
2014-11-12,,,0.88,,,,
2014-11-14,,95.61,,96.06,100.49,95.61,133.47
2014-11-15,67.55,,,,,,
2014-11-19,,,0.88,,,,
2014-11-20,,,,,,,
2014-11-21,,95.61,,96.03,100.49,95.61,136.7
2014-11-22,67.55,,,,,,
2014-11-26,,,0.88,,,,
2014-11-27,,,,,,,
2014-11-28,,95.49,,96.0,99.41,95.49,128.36
2014-11-29,67.55,,,,,,
2014-12-03,,,0.88,,,,
2014-12-05,,95.49,,95.94,97.88,95.49,122.1
2014-12-06,67.55,,,,,,
2014-12-10,,,0.879,,,,
2014-12-11,,,,,,,
2014-12-12,,95.49,,95.93,96.96,95.49,118.13
2014-12-13,67.55,,,,,,
2014-12-17,,,0.877,,,,
2014-12-18,,,,,,,
2014-12-19,,95.49,,95.93,96.96,95.49,111.69
2014-12-20,67.55,,,,,,
2014-12-24,,,0.874,,,,
2014-12-25,,,,,,,
2014-12-26,,95.49,,95.93,96.76,95.49,111.49
2014-12-27,67.55,,,,,,
2014-12-31,,,0.873,,,,110.56
2015-01-02,,,,,,,112.29
2015-01-03,67.55,,,,,,
2015-01-07,,,0.872,,,,
2015-01-08,,,,,,,
2015-01-09,,94.63,,95.59,93.81,94.63,111.41
2015-01-10,67.55,,,,,,
2015-01-14,,,0.87,,,,
2015-01-15,,,,,,,
2015-01-16,,94.34,,95.29,93.39,94.34,111.64
2015-01-17,67.55,,,,,,
2015-01-21,,,0.867,,,,
2015-01-23,,94.2,,95.26,93.39,94.2,110.58
2015-01-24,67.55,,,,,,
2015-01-28,,,0.864,,,,
2015-01-30,,94.2,,95.19,92.8,94.2,111.04
2015-01-31,67.55,,,,,,
2015-02-04,,,0.853,,,,
2015-02-05,,,,,,,
2015-02-06,,94.2,,95.11,92.8,94.2,107.92
2015-02-11,,,0.844,,,,
2015-02-13,,94.2,,95.06,92.01,94.2,106.45
2015-02-17,,,,,,,105.63
2015-02-18,,,0.843,,,,
2015-02-20,,,,,,,107.54
2015-02-25,,,0.842,,,,
2015-02-27,,94.2,,95.06,91.88,94.2,105.47
2015-03-01,,,,,,,
2015-03-04,,,0.839,,,,
2015-03-06,,94.2,,95.03,90.7,94.2,115.45
2015-03-11,,,0.835,,,,
2015-03-13,,93.76,,94.41,89.85,93.76,113.44
2015-03-18,,,0.834,,,,
2015-03-20,,93.76,,94.2,88.21,93.76,119.29
2015-03-25,,,0.832,,,,
2015-03-27,,92.19,,94.13,88.08,92.19,122.01
2015-04-01,,,0.825,,,,
2015-04-03,,91.93,,94.09,87.28,91.93,121.54
2015-04-04,67.55,,,,,,
2015-04-08,,,0.822,,,,
2015-04-10,,91.81,,93.93,84.18,91.81,122.45
2015-04-11,67.55,,,,,,
2015-04-15,,,0.82,,,,
2015-04-17,,91.81,,93.92,84.18,91.81,122.08
2015-04-18,67.55,,,,,,
2015-04-22,,,0.817,,,,
2015-04-24,,91.81,,93.83,82.65,91.81,117.59
2015-04-25,67.55,,,,,,
2015-04-29,,,0.816,,,,
2015-04-30,,,,,,,115.21
2015-05-01,,,,,,,115.43
2015-05-02,67.55,,,,,,
2015-05-06,,,0.81,,,,
2015-05-08,,91.2,,93.77,81.07,91.2,113.31
2015-05-09,67.55,,,,,,
2015-05-13,,,0.808,,,,
2015-05-15,,90.85,,93.59,79.29,90.85,114.67
2015-05-16,67.55,,,,,,
2015-05-20,,,0.804,,,,
2015-05-22,,90.71,,93.59,79.09,90.71,112.12
2015-05-23,67.55,,,,,,
2015-05-27,,,0.804,,,,
2015-05-29,,90.71,,93.61,79.09,90.71,112.62
2015-05-30,67.55,,,,,,
2015-06-03,,,0.804,,,,
2015-06-05,,90.68,,93.61,78.67,90.68,109.26
2015-06-06,67.55,,,,,,
2015-06-10,,,0.804,,,,
2015-06-12,,90.67,,93.6,78.27,90.67,107.51
2015-06-13,67.55,,,,,,
2015-06-17,,,0.804,,,,
2015-06-19,,90.67,,93.6,78.27,90.67,110.48
2015-06-20,67.55,,,,,,
2015-06-24,,,0.804,,,,
2015-06-26,,90.67,,93.6,78.54,90.67,108.26
2015-06-27,67.55,,,,,,
2015-07-01,,,0.805,,,,
2015-07-03,,90.74,,93.83,78.57,90.74,101.57
2015-07-04,67.55,,,,,,
2015-07-08,,,0.806,,,,
2015-07-10,,90.74,,93.84,78.71,90.74,95.76
2015-07-11,67.55,,,,,,
2015-07-15,,,0.807,,,,
2015-07-17,,90.26,,93.81,78.71,90.26,99.24
2015-07-18,67.55,,,,,,
2015-07-22,,,0.808,,,,
2015-07-24,,89.45,,93.81,78.71,89.45,98.54
2015-07-25,67.55,,,,,,
2015-07-29,,,0.809,,,,
2015-07-31,,89.45,,93.81,78.71,89.45,96.91
2015-08-01,67.55,,,,,,
2015-08-05,,,0.81,,,,
2015-08-07,,87.79,,93.81,78.71,87.79,96.35
2015-08-08,67.55,,,,,,
2015-08-12,,,0.808,,,,
2015-08-14,,87.79,,93.65,78.71,87.79,99.76
2015-08-15,67.55,,,,,,
2015-08-19,,,0.807,,,,
2015-08-21,,87.79,,93.66,78.64,87.79,96.42
2015-08-22,67.55,,,,,,
2015-08-26,,,0.809,,,,
2015-08-28,,87.79,,93.66,77.36,87.79,95.5
2015-08-29,67.55,,,,,,
2015-09-02,,,0.812,,,,91.2
2015-09-04,,,,,,,92.01
2015-09-05,67.55,,,,,,
2015-09-09,,,0.815,,,,
2015-09-11,,87.79,,93.79,76.85,87.79,93.6
2015-09-12,67.55,,,,,,
2015-09-16,,,0.817,,,,
2015-09-18,,87.79,,93.79,76.85,87.79,91.57
2015-09-19,67.55,,,,,,
2015-09-23,,,0.819,,,,
2015-09-25,,87.97,,93.79,76.52,87.97,93.79
2015-09-26,67.55,,,,,,
2015-09-30,,,0.823,,,,94.7
2015-10-02,,87.97,,93.79,76.52,87.97,95.46
2015-10-03,67.55,,,,,,
2015-10-07,,,0.824,,,,
2015-10-09,,87.97,,93.79,76.52,87.97,96.32
2015-10-10,67.55,,,,,,
2015-10-14,,,0.825,,,,
2015-10-16,,87.97,,93.77,75.69,87.97,100.67
2015-10-17,67.55,,,,,,
2015-10-21,,,0.827,,,,
2015-10-23,,87.97,,93.77,75.69,87.97,99.5
2015-10-24,67.55,,,,,,
2015-10-28,,,0.828,,,,
2015-10-30,,87.97,,93.77,75.69,87.97,99.22
2015-10-31,67.55,,,,,,
2015-11-04,,,0.832,,,,
2015-11-06,,88.21,,93.85,75.69,88.21,96.91
2015-11-07,67.55,,,,,,
2015-11-11,,,0.834,,,,
2015-11-13,,88.8,,92.86,74.47,88.8,98.81
2015-11-14,67.55,,,,,,
2015-11-18,,,0.836,,,,
2015-11-20,,88.8,,92.9291,73.53,88.8,100.56
2015-11-21,67.55,,,,,,
2015-11-25,,,0.84,,,,
2015-11-27,,86.87,,92.7874,70.61,86.87,101.16
2015-11-28,67.55,,,,,,
2015-12-02,,,0.843,,,,
2015-12-04,,87.48,,92.89,70.61,87.48,101.23
2015-12-05,67.55,,,,,,
2015-12-09,,,0.845,,,,
2015-12-11,,87.48,,93.0593,70.61,87.48,99.19
2015-12-12,67.55,,,,,,
2015-12-16,,,0.847,,,,
2015-12-18,,87.48,,93.3723,70.61,87.48,101.24
2015-12-19,67.55,,,,,,
2015-12-23,,,0.855,,,,
2015-12-25,,88.2,,93.3862,69.62,88.2,101.38
2015-12-26,67.55,,,,,,
2015-12-30,,,0.86,,,,
2015-12-31,,,,,,,100.0
2016-01-01,,,,,,,100.0
2016-01-02,67.55,,,,,,
2016-01-06,,,0.866,,,,
2016-01-08,,88.2,,93.5397,69.62,88.2,101.48
2016-01-09,67.55,,,,,,
2016-01-13,,,0.87,,,,
2016-01-15,,88.2,,93.5665,68.11,88.2,96.03
2016-01-16,67.55,,,,,,
2016-01-20,,,0.873,,,,
2016-01-22,,88.2,,93.5144,69.81,88.2,97.01
2016-01-23,67.55,,,,,,
2016-01-27,,,0.873,,,,
2016-01-29,,88.2,,93.3944,70.11,88.2,95.8
2016-01-30,67.55,,,,,,
2016-02-03,,,0.873,,,,
2016-02-05,,,,,,,96.94
2016-02-06,67.55,,,,,,
2016-02-10,,,0.873,,,,
2016-02-12,,,,,,,94.61
2016-02-13,67.55,,,,,,
2016-02-15,,,,,,,94.17
2016-02-17,,,0.871,,,,
2016-02-19,,88.2,,93.26,71.39,88.2,97.91
2016-02-20,67.55,,,,,,
2016-02-24,,,0.87,,,,
2016-02-26,,90.44,,92.8,72.7,90.44,99.1
2016-02-27,67.55,,,,,,
2016-03-02,,,0.868,,,,
2016-03-04,,90.44,,91.6,73.03,90.44,97.99
2016-03-05,67.55,,,,,,
2016-03-09,,,0.867,,,,
2016-03-11,,90.44,,90.6908,74.22,90.44,97.47
2016-03-12,67.55,,,,,,
2016-03-16,,,0.866,,,,
2016-03-18,,90.97,,90.2254,75.0,90.97,98.46
2016-03-19,67.55,,,,,,
2016-03-23,,,0.862,,,,
2016-03-25,,91.2,,90.2479,75.65,91.2,97.83
2016-03-26,67.55,,,,,,
2016-03-30,,,0.858,,,,
2016-04-01,,90.86,,90.1096,77.57,90.86,96.73
2016-04-02,67.55,,,,,,
2016-04-06,,,0.857,,,,
2016-04-08,,90.69,,90.2,78.5,90.69,96.5
2016-04-09,67.55,,,,,,
2016-04-13,,,0.855,,,,
2016-04-15,,90.69,,87.39,81.04,90.69,96.15
2016-04-16,67.55,,,,,,
2016-04-20,,,0.853,,,,
2016-04-22,,90.67,,88.71,85.21,90.67,96.08
2016-04-23,67.55,,,,,,
2016-04-27,,,0.851,,,,
2016-04-29,,90.67,,89.14,86.87,90.67,96.71
2016-04-30,67.55,,,,,,
2016-05-04,,,0.849,,,,
2016-05-06,,90.53,,89.09,88.07,90.53,96.7
2016-05-07,67.55,,,,,,
2016-05-11,,,0.847,,,,
2016-05-13,,90.53,,88.93,88.1,90.53,95.97
2016-05-14,67.55,,,,,,
2016-05-18,,,0.845,,,,
2016-05-20,,90.53,,88.93,88.1,90.53,95.0
2016-05-21,67.55,,,,,,
2016-05-25,,,0.843,,,,
2016-05-27,,90.44,,88.88,88.1,90.44,94.48
2016-05-28,67.55,,,,,,
2016-06-01,,,0.835,,,,
2016-06-03,,89.52,,87.88,87.78,89.52,94.78
2016-06-04,67.55,,,,,,
2016-06-07,,,,,,,
2016-06-08,,89.52,0.828,87.88,87.78,89.52,
2016-06-10,,,,,,,95.69
2016-06-11,67.55,,,,,,
2016-06-13,,,,,,,95.69
2016-06-15,,,0.82,,,,
2016-06-17,,89.22,,87.02,87.35,89.22,98.32
2016-06-18,67.55,,,,,,
2016-06-22,,,0.805,,,,
2016-06-24,,88.36,,85.33,86.82,88.36,99.07
2016-06-25,67.55,,,,,,
2016-06-29,,,0.79,,,,
2016-07-01,,86.46,,84.23,86.82,86.46,99.1
2016-07-02,67.55,,,,,,
2016-07-06,,,0.774,,,,
2016-07-08,,86.23,,82.88,86.82,86.23,99.37
2016-07-09,67.55,,,,,,
2016-07-13,,,0.755,,,,
2016-07-15,,82.58,,81.31,86.82,82.58,96.03
2016-07-16,67.55,,,,,,
2016-07-20,,,0.74,,,,
2016-07-22,,82.23,,80.38,86.2,82.23,97.61
2016-07-23,67.55,,,,,,
2016-07-27,,,0.725,,,,
2016-07-29,,81.03,,79.2,86.2,81.03,95.58
2016-07-30,67.55,,,,,,
2016-08-03,,,0.714,,,,
2016-08-05,,79.18,,77.88,85.58,79.18,96.76
2016-08-06,67.55,,,,,,
2016-08-10,,,0.7,,,,
2016-08-12,,77.85,,76.99,84.52,77.85,95.57
2016-08-13,67.55,,,,,,
2016-08-17,,,0.679,,,,
2016-08-19,,74.76,,75.01,82.97,74.76,96.3
2016-08-20,67.55,,,,,,
2016-08-24,,,0.64,,,,
2016-08-26,,71.07,,73.51,82.66,71.07,95.64
2016-08-27,67.55,,,,,,
2016-08-31,,,0.599,,,,
2016-09-02,,65.17,,69.78,75.85,65.17,94.64
2016-09-03,67.55,,,,,,
2016-09-07,,,0.563,,,,
2016-09-09,,62.3,,66.33,67.49,62.3,95.26
2016-09-10,67.55,,,,,,
2016-09-14,,,0.535,,,,
2016-09-17,67.55,,,,,,
2016-09-18,,60.68,,62.06,60.99,60.68,
2016-09-19,,,,,,,94.68
2016-09-21,,,0.51,,,,
2016-09-23,,59.35,,59.55,54.18,59.35,94.04
2016-09-24,67.55,,,,,,
2016-09-28,,,0.51,,,,
2016-09-30,,59.35,,59.97,55.73,59.35,91.96
2016-10-01,67.55,,,,,,
2016-10-05,,,0.515,,,,
2016-10-08,67.55,,,,,,
2016-10-09,,61.22,,62.24,59.44,61.22,
2016-10-12,,,0.545,,,,
2016-10-14,,65.38,,66.22,66.25,65.38,93.04
2016-10-15,67.55,,,,,,
2016-10-19,,,0.578,,,,
2016-10-21,,67.17,,69.04,70.28,67.17,93.87
2016-10-22,67.55,,,,,,
2016-10-26,,,0.614,,,,
2016-10-28,,73.0,,72.86,76.47,73.0,93.17
2016-10-29,67.55,,,,,,
2016-11-02,,,0.639,,,,
2016-11-04,,75.22,,75.13,80.5,75.22,92.35
2016-11-05,67.55,,,,,,
2016-11-09,,,0.663,,,,
2016-11-11,,76.29,,76.06,82.04,76.29,91.88
2016-11-12,67.55,,,,,,
2016-11-16,,,0.662,,,,
2016-11-18,,77.27,,76.41,82.35,77.27,91.75
2016-11-19,67.55,,,,,,
2016-11-23,,,0.659,,,,
2016-11-25,,75.77,,75.47,82.97,75.77,90.72
2016-11-26,67.55,,,,,,
2016-11-30,,,0.65,,,,
2016-12-02,,74.73,,75.15,84.52,74.73,91.16
2016-12-03,67.55,,,,,,
2016-12-07,,,0.642,,,,
2016-12-09,,74.79,,74.74,84.52,74.79,92.56
2016-12-10,68.11,,,,,,
2016-12-14,,,0.634,,,,
2016-12-16,,74.85,,74.55,85.45,74.85,93.33
2016-12-17,68.11,,,,,,
2016-12-21,,,0.627,,,,
2016-12-23,,74.91,,74.71,87.0,74.91,92.7
2016-12-24,68.11,,,,,,
2016-12-28,,,0.623,,,,
2016-12-30,,74.91,,74.66,87.62,74.91,93.37
2016-12-31,68.11,,,,,,
2017-01-04,,,0.621,,,,
2017-01-06,,75.11,,74.54,87.62,75.11,90.99
2017-01-07,68.11,,,,,,
2017-01-11,,,0.62,,,,
2017-01-13,,75.45,,74.54,87.93,75.45,90.24
2017-01-14,68.11,,,,,,
2017-01-18,,,0.62,,,,
2017-01-20,,75.45,,74.6,88.24,75.45,89.6
2017-01-21,68.11,,,,,,
2017-01-25,,,0.62,,,,
2017-01-26,,,,,,,90.26
2017-01-28,68.11,,,,,,
2017-02-01,,,0.62,,,,
2017-02-03,,,,,,,90.22
2017-02-04,68.11,,,,,,
2017-02-06,,76.31,,75.21,88.54,76.31,
2017-02-08,,,0.62,,,,
2017-02-10,,76.61,,75.65,89.01,76.61,89.66
2017-02-11,68.11,,,,,,
2017-02-15,,,0.62,,,,
2017-02-17,,76.61,,75.71,89.32,76.61,90.62
2017-02-18,68.11,,,,,,
2017-02-22,,,0.62,,,,
2017-02-24,,76.61,,75.55,89.32,76.61,90.93
2017-02-25,68.11,,,,,,
2017-03-01,,,0.614,,,,
2017-03-03,,75.34,,74.5,88.54,75.34,90.73
2017-03-04,68.11,,,,,,
2017-03-08,,,0.607,,,,
2017-03-10,,75.06,,73.65,87.93,75.06,91.46
2017-03-11,68.11,,,,,,
2017-03-15,,,0.594,,,,
2017-03-17,,72.91,,72.66,87.0,72.91,93.43
2017-03-18,68.11,,,,,,
2017-03-22,,,0.58,,,,
2017-03-24,,71.53,,71.19,82.97,71.53,91.83
2017-03-25,68.11,,,,,,
2017-03-29,,,0.565,,,,
2017-03-31,,69.68,,69.64,80.5,69.68,91.38
2017-04-01,68.11,,,,,,
2017-04-05,,,0.555,,,,
2017-04-07,,68.82,,68.25,75.85,68.82,90.87
2017-04-08,68.11,,,,,,
2017-04-11,,,,,,,
2017-04-12,,,0.545,,,,
2017-04-14,,67.83,,67.86,75.23,67.83,89.62
2017-04-15,68.11,,,,,,
