指标名称,中国:产量:太阳能:当月值,中国:产量:核电:当月值,中国:产量:风电:当月值,中国:产量:水电:当月值,中国:产量:火电:当月值,中国:产量:发电量:当月值
1990-06-30,,,,137.3,379.0,516.3
1990-07-31,,,,130.8,393.2,524.0
1990-08-31,,,,125.3,404.2,529.5
1990-09-30,,,,111.4,392.9,504.3
1990-10-31,,,,102.4,418.6,521.0
1990-11-30,,,,97.3,429.4,526.8
1990-12-31,,,,87.5,469.2,556.8
1991-01-31,,,,80.4,471.1,551.6
1991-02-28,,,,68.9,401.9,470.9
1991-03-31,,,,82.7,467.1,549.7
1991-04-30,,,,96.6,437.7,534.5
1991-05-31,,,,122.7,442.0,564.8
1991-06-30,,,,127.0,419.3,546.4
1991-07-31,,,,138.3,440.0,578.3
1991-08-31,,,,132.8,448.4,581.2
1991-09-30,,,,114.5,446.3,560.9
1991-10-31,,,,105.3,468.3,573.6
1991-11-30,,,,84.6,494.8,579.5
1991-12-31,,,,87.3,524.1,608.58
1992-01-31,,,,81.5,494.8,576.7
1992-02-29,,,,74.5,475.6,551.5
1992-03-31,,,,95.5,514.2,611.1
1992-04-30,,,,108.3,478.2,587.3
1992-05-31,,,,133.8,484.8,620.0
1992-06-30,,,,145.7,478.7,626.2
1992-07-31,,,,141.5,506.3,650.0
1992-08-31,,,,126.9,486.8,639.6
1992-09-30,,,,117.1,495.5,613.0
1992-10-31,,,,107.2,517.5,625.3
1992-11-30,,,,90.3,550.6,641.2
1992-12-31,,,,87.8,584.4,672.8
1993-01-31,,,,69.5,548.8,618.9
1993-02-28,,,,75.8,532.9,609.5
1993-03-31,,,,90.0,589.9,681.4
1993-04-30,,,,99.3,554.1,655.1
1993-05-31,,,,130.1,546.3,678.9
1993-06-30,,,,154.8,523.0,680.0
1993-07-31,,,,155.3,543.4,701.1
1993-08-31,,,,159.9,538.2,700.2
1993-09-30,,,,144.2,523.4,669.7
1993-10-31,,,,140.0,545.6,687.9
1993-11-30,,,,123.8,568.5,694.6
1993-12-31,,,,108.3,638.6,750.2
1994-01-31,,,,96.74,620.59,722.93
1994-02-28,,,,87.17,548.62,643.49
1994-03-31,,,,107.09,628.37,748.85
1994-04-30,,,,126.61,589.66,728.07
1994-05-31,,,,155.95,589.79,761.67
1994-06-30,,,,168.54,573.87,758.07
1994-07-31,,,,183.42,567.17,760.75
1994-08-31,,,,172.75,604.79,792.39
1994-09-30,,,,160.08,561.26,739.11
1994-10-31,,,,154.61,589.66,757.98
1994-11-30,,,,135.55,634.83,789.86
1994-12-31,,,,142.23,682.15,834.13
1995-01-31,,,,98.82,644.73,750.8
1995-02-28,,,,105.42,599.02,712.7
1995-03-31,,,,120.48,677.55,806.78
1995-04-30,,,,139.94,663.61,806.79
1995-05-31,,,,164.0,645.09,813.47
1995-06-30,,,,195.2,619.75,824.19
1995-07-31,,,,197.85,651.77,865.57
1995-08-31,,,,206.09,635.84,864.56
1995-09-30,,,,180.79,629.57,827.17
1995-10-31,,,,169.09,642.0,825.88
1995-11-30,,,,142.83,687.73,843.85
1995-12-31,,,,129.82,754.44,895.77
1996-01-31,,,,105.01,748.46,861.74
1996-02-29,,,,90.85,665.03,762.76
1996-03-31,,,,104.88,744.94,860.1
1996-04-30,,,,135.05,710.21,854.28
1996-05-31,,,,172.35,704.66,888.4
1996-06-30,,,,191.88,676.16,884.65
1996-07-31,,,,193.0,690.02,900.52
1996-08-31,,,,210.85,686.54,913.65
1996-09-30,,,,187.33,671.87,876.0
1996-10-31,,,,166.63,691.05,873.9
1996-11-30,,,,144.86,733.12,892.12
1996-12-31,,,,131.8,814.9,958.24
1997-01-31,,,,155.34,725.09,891.38
1997-02-28,,,,97.86,669.92,775.75
1997-03-31,,,,128.08,792.13,931.83
1997-04-30,,,,144.16,730.82,882.62
1997-05-31,,,,184.99,731.21,937.13
1997-06-30,,,,191.12,717.6,924.73
1997-07-31,,,,198.16,748.36,964.12
1997-08-31,,,,201.24,752.79,971.18
1997-09-30,,,,175.95,718.17,911.5
1997-10-31,,,,172.36,722.15,910.18
1997-11-30,,,,141.22,761.5,916.54
1997-12-31,,,,138.5,832.69,987.63
1998-01-31,,,,117.61,738.37,866.27
1998-02-28,,,,104.32,706.07,819.35
1998-03-31,,,,150.98,796.52,963.61
1998-04-30,,,,147.42,745.91,909.93
1998-05-31,,,,179.94,720.16,917.82
1998-06-30,,,,201.93,704.49,926.12
1998-07-31,,,,212.89,765.49,993.42
1998-08-31,,,,206.66,785.33,1006.07
1998-09-30,,,,179.98,735.62,930.13
1998-10-31,,,,169.04,759.03,941.05
1998-11-30,,,,134.79,811.05,954.97
1998-12-31,,,,139.02,907.09,1052.6
1999-01-31,,,,109.93,877.32,1101.43
1999-02-28,,,,85.96,723.05,814.05
1999-03-31,,,,106.15,874.41,990.12
1999-04-30,,,,124.99,800.32,939.85
1999-05-31,,,,183.42,770.9,969.17
1999-06-30,,,,205.25,755.1,977.25
1999-07-31,,,,239.2,817.23,1071.23
1999-08-31,,,,221.32,836.68,1072.48
1999-09-30,,,,206.76,781.31,1003.64
1999-10-31,,,,180.97,798.05,994.53
1999-11-30,,,,171.12,820.01,1003.01
1999-12-31,,,,155.65,939.5,1103.79
2000-01-31,,,,110.24,933.49,1052.32
2000-02-29,,,,121.98,826.4,957.43
2000-03-31,,,,150.41,878.16,1043.93
2000-04-30,,,,175.67,844.51,1037.21
2000-05-31,,,,198.86,881.03,1097.76
2000-06-30,,,,218.67,863.07,1098.13
2000-07-31,,,,221.53,954.93,1193.72
2000-08-31,,,,229.55,927.34,1174.1
2000-09-30,,,,210.46,851.57,1078.8
2000-10-31,,,,219.05,853.58,1089.65
2000-11-30,,,,183.61,918.09,1114.36
2000-12-31,,,,160.85,1024.52,1194.0
2001-01-31,,10.5347,,137.08,880.22,1036.98
2001-02-28,,13.2788,,139.05,895.65,1054.5
2001-03-31,,16.6667,,157.54,976.99,1170.78
2001-04-30,,13.3228,,178.99,923.11,1116.68
2001-05-31,,16.7577,,214.27,945.45,1177.87
