指标名称,中国:全社会用电量:第一产业:当月值,中国:全社会用电量:第三产业:当月值,中国:全社会用电量:第二产业:当月值,中国:全社会用电量:当月值,中国:发电新增设备容量:太阳能:累计值,中国:规模以上工业增加值:电力、热力的生产和供应业:当月同比,中国:用电量:电力、燃气及水的生产和供应业:当月值,中国:产成品存货:电力、热力生产和供应业,中国:产成品存货:电力、热力生产和供应业:同比,中国:存货:电力、热力生产和供应业:同比,中国:消费量:动力煤:电力行业:当月值
2007-11-30,625323.0,2568219.0,2.1904578E7,2.8048816E7,,13.6,4271674.0,545617.6,32.68,,
2007-12-31,760204.0,2874303.0,2.3537523E7,3.0336647E7,,8.8,4471044.0,,,,
2008-02-29,,,,,,11.8,,535331.4,48.43,,
2008-03-31,584083.0,2695397.0,2.2144028E7,2.8946024E7,,16.0,5560859.0,,,,
2008-04-30,750014.0,2595342.0,2.2092368E7,2.8636639E7,,12.3,3972782.0,,,,
2008-05-31,802651.0,2549018.0,2.3259866E7,2.958537E7,,11.8,4326734.0,493647.6,5.8,,
2008-06-30,929295.0,2746610.0,2.2878639E7,2.9524438E7,,9.1,4019668.0,,,,
2008-07-31,948315.0,3116461.0,2.4794655E7,3.2175568E7,,10.6,6107284.0,,,,
2008-08-31,958763.0,3540619.0,2.3465063E7,3.1981521E7,,8.2,4374575.0,513195.8,17.75,,
2008-09-30,771526.0,3337604.0,2.1331563E7,2.9456537E7,,8.1,3355076.0,,,,
2008-10-31,677198.0,2944811.0,1.9790038E7,2.698505E7,,3.4,3456512.0,,,,
2008-11-30,783738.0,2919255.0,1.8865967E7,2.5623932E7,,-1.1,3552077.0,999513.9,58.8,,
2008-12-31,520284.0,2676107.0,2.1082618E7,2.7371103E7,,0.8,,,,,
2009-01-31,582439.12092,3263297.7756,1.7868672219E7,2.510679976E7,,,2366580.7486,,,,
2009-02-28,541640.87908,3011930.2244,1.7062773781E7,2.461498824E7,,6.3,3307694.2514,563205.7,31.22,,
2009-03-31,621929.0,2930564.0,2.0976826E7,2.8377218E7,,2.9,5479167.0,,,,11752.0
2009-04-30,766101.0,2899435.0,2.0547126E7,2.7489146E7,,1.7,3264081.0,,,,10713.0
2009-05-31,876560.0,2695092.0,2.2041158E7,2.8853304E7,,1.0,4653488.0,623669.7,14.84,,9984.0
2009-06-30,959409.0,3238000.0,2.3208536E7,3.0817356E7,,7.0,4479441.0,,,,11837.0
2009-07-31,1070529.0,3648941.0,2.545021E7,3.4200175E7,,5.3,6123048.0,,,,12772.0
2009-08-31,1059636.0,3968610.0,2.5003448E7,3.4622349E7,,6.8,4836556.0,798039.2,42.6011,,13094.0
2009-09-30,837333.0,3796165.0,2.3077735E7,3.224082E7,,6.9,3479703.0,,,,12443.0
2009-10-31,734260.0,3269796.0,2.3566407E7,3.1342329E7,,9.7,4287705.0,,,,12552.0
2009-11-30,734807.0,3209083.0,2.5171698E7,3.2838815E7,,15.6,5015348.0,951184.2,-0.8442,,13523.0
