,SN.LME_open,SN.LME_high,SN.LME_low,SN.LME_close,SN.LME_volume
2015-01-16,19360.0,19500.0,19349.0,19500.0,130.0
2015-01-19,19500.0,19570.0,19295.0,19395.0,88.0
2015-01-20,19330.0,19450.0,19250.0,19350.0,175.0
2015-01-21,19400.0,19450.0,19180.0,19450.0,202.0
2015-01-22,19425.0,19700.0,19400.0,19510.0,248.0
2015-01-23,19325.0,19535.0,19325.0,19390.0,239.0
2015-01-26,19350.0,19740.0,19200.0,19585.0,239.0
2015-01-27,19555.0,19600.0,19250.0,19370.0,300.0
2015-01-28,19375.0,19500.0,19205.0,19295.0,249.0
2015-01-29,19290.0,19300.0,19105.0,19265.0,326.0
2015-01-30,19120.0,19285.0,19000.0,19075.0,331.0
2015-02-02,19100.0,19100.0,18700.0,18780.0,258.0
2015-02-03,18850.0,19050.0,18850.0,19025.0,254.0
2015-02-04,19055.0,19090.0,18860.0,18925.0,245.0
2015-02-05,18900.0,19000.0,18890.0,18955.0,172.0
2015-02-06,19000.0,19000.0,18450.0,18500.0,241.0
2015-02-09,18600.0,18650.0,18100.0,18500.0,353.0
2015-02-10,18335.0,18545.0,17950.0,18225.0,241.0
2015-02-11,18150.0,18200.0,17445.0,17675.0,339.0
2015-02-12,17600.0,18050.0,17600.0,18050.0,503.0
2015-02-13,18000.0,18310.0,18000.0,18270.0,313.0
2015-02-16,18250.0,18315.0,18025.0,18095.0,96.0
2015-02-17,18140.0,18140.0,17900.0,18100.0,121.0
2015-02-25,18130.0,18180.0,18070.0,18125.0,60.0
2015-02-26,18110.0,18210.0,18050.0,18050.0,167.0
2015-02-27,18030.0,18100.0,17600.0,17995.0,380.0
2015-03-02,17925.0,18000.0,17655.0,17725.0,191.0
2015-03-03,17775.0,17880.0,17600.0,17850.0,147.0
2015-03-04,17845.0,17980.0,17825.0,17840.0,150.0
2015-03-05,17900.0,18240.0,17825.0,18150.0,245.0
2015-03-06,18100.0,18200.0,17970.0,18055.0,144.0
2015-03-09,18100.0,18225.0,18000.0,18125.0,175.0
2015-03-10,18125.0,18125.0,17780.0,17800.0,135.0
2015-03-11,17850.0,17850.0,17390.0,17450.0,293.0
2015-03-12,17430.0,17610.0,17190.0,17290.0,335.0
2015-03-13,17300.0,17475.0,17300.0,17370.0,237.0
2015-03-16,17335.0,17550.0,17335.0,17540.0,210.0
2015-03-17,17545.0,17555.0,17250.0,17275.0,184.0
2015-03-18,17395.0,17400.0,16705.0,16850.0,390.0
2015-03-19,16850.0,17050.0,16850.0,16945.0,237.0
2015-03-20,16950.0,17360.0,16900.0,17120.0,304.0
2015-03-23,17245.0,17645.0,17245.0,17600.0,249.0
2015-03-24,17650.0,17650.0,17230.0,17520.0,171.0
2015-03-25,17410.0,17585.0,17325.0,17400.0,172.0
2015-03-26,17395.0,17600.0,17165.0,17165.0,227.0
2015-03-27,17160.0,17350.0,17160.0,17350.0,146.0
2015-03-30,17205.0,17295.0,16790.0,16880.0,155.0
2015-03-31,16850.0,16960.0,16475.0,16570.0,358.0
