,AL.SHF_open,AL.SHF_high,AL.SHF_low,AL.SHF_close,AL.SHF_volume
2015-07-20,12510.0,12510.0,12420.0,12460.0,17286.0
2015-07-21,12485.0,12500.0,12445.0,12485.0,14944.0
2015-07-22,12450.0,12450.0,12355.0,12355.0,34332.0
2015-07-23,12345.0,12370.0,12270.0,12355.0,34006.0
2015-07-24,12310.0,12310.0,12255.0,12270.0,29574.0
2015-07-27,12270.0,12345.0,12240.0,12245.0,22660.0
2015-07-28,12230.0,12315.0,12145.0,12295.0,25984.0
2015-07-29,12270.0,12430.0,12270.0,12345.0,38462.0
2015-07-30,12315.0,12340.0,12265.0,12275.0,23968.0
2015-07-31,12195.0,12280.0,12195.0,12255.0,27614.0
2015-08-03,12245.0,12310.0,12000.0,12095.0,45728.0
2015-08-04,12080.0,12170.0,12025.0,12145.0,31710.0
2015-08-05,12165.0,12280.0,12080.0,12120.0,18196.0
2015-08-06,12115.0,12120.0,12010.0,12025.0,25772.0
2015-08-07,11990.0,12005.0,11910.0,11960.0,37040.0
2015-08-10,11965.0,12055.0,11935.0,11965.0,27690.0
2015-08-11,11955.0,12120.0,11955.0,12040.0,50750.0
2015-08-12,12040.0,12165.0,12000.0,12135.0,49638.0
2015-08-13,12170.0,12270.0,12100.0,12140.0,52368.0
2015-08-14,12120.0,12145.0,12085.0,12110.0,21436.0
2015-08-17,12120.0,12140.0,12020.0,12070.0,24268.0
2015-08-18,12040.0,12070.0,11975.0,11995.0,16198.0
2015-08-19,11980.0,12020.0,11890.0,11965.0,25354.0
2015-08-20,11945.0,12045.0,11935.0,12035.0,26696.0
2015-08-21,12105.0,12120.0,11980.0,11990.0,25474.0
2015-08-24,11970.0,11995.0,11805.0,11830.0,55470.0
2015-08-25,11800.0,11910.0,11765.0,11870.0,41970.0
2015-08-26,11945.0,12050.0,11840.0,11855.0,40152.0
2015-08-27,11810.0,11900.0,11810.0,11885.0,26522.0
2015-08-28,11885.0,11980.0,11865.0,11935.0,31564.0
2015-08-31,11950.0,12020.0,11875.0,11890.0,33894.0
2015-09-01,11900.0,11900.0,11775.0,11825.0,50776.0
2015-09-02,11825.0,11885.0,11780.0,11850.0,19480.0
2015-09-07,11840.0,11915.0,11825.0,11885.0,18490.0
2015-09-08,11875.0,11915.0,11870.0,11915.0,24578.0
2015-09-09,11970.0,12065.0,11950.0,12060.0,54768.0
2015-09-10,12085.0,12195.0,11950.0,12010.0,37326.0
2015-09-11,12000.0,12060.0,11970.0,12045.0,24738.0
2015-09-14,12000.0,12055.0,11980.0,12010.0,25476.0
2015-09-15,11955.0,11995.0,11860.0,11900.0,27780.0
2015-09-16,11905.0,11950.0,11875.0,11935.0,18628.0
2015-09-17,11935.0,11965.0,11905.0,11955.0,19422.0
2015-09-18,11950.0,12045.0,11920.0,12005.0,23438.0
2015-09-21,12040.0,12075.0,11900.0,11920.0,35218.0
2015-09-22,11945.0,11945.0,11835.0,11890.0,29346.0
2015-09-23,11840.0,11840.0,11755.0,11805.0,46148.0
2015-09-24,11780.0,11840.0,11745.0,11800.0,35156.0
2015-09-25,11765.0,11900.0,11760.0,11825.0,33610.0
2015-09-28,11810.0,11825.0,11730.0,11750.0,19054.0
2015-09-29,11720.0,11745.0,11610.0,11660.0,42198.0
2015-09-30,11700.0,11750.0,11585.0,11680.0,31818.0
2015-10-08,11695.0,11695.0,11475.0,11490.0,39416.0
2015-10-09,11465.0,11635.0,11380.0,11600.0,93630.0
2015-10-12,11670.0,11725.0,11545.0,11615.0,69212.0
2015-10-13,11615.0,11615.0,11450.0,11500.0,52728.0
2015-10-14,11470.0,11590.0,11310.0,11335.0,76170.0
2015-10-15,11345.0,11400.0,11220.0,11295.0,60556.0
2015-10-16,11250.0,11305.0,11180.0,11195.0,51974.0
2015-10-19,11195.0,11280.0,11085.0,11090.0,78744.0
2015-10-20,11085.0,11125.0,10980.0,11010.0,66288.0
2015-10-21,11015.0,11035.0,10765.0,10825.0,108088.0
2015-10-22,10790.0,10860.0,10700.0,10720.0,114886.0
2015-10-23,10760.0,10830.0,10345.0,10620.0,360684.0
2015-10-26,10600.0,10660.0,10380.0,10465.0,357282.0
2015-10-27,10480.0,10580.0,10410.0,10525.0,294012.0
2015-10-28,10530.0,10645.0,10275.0,10290.0,333248.0
2015-10-29,10260.0,10425.0,10250.0,10345.0,343486.0
2015-10-30,10310.0,10395.0,10295.0,10350.0,190944.0
2015-11-02,10340.0,10390.0,10280.0,10315.0,155648.0
2015-11-03,10340.0,10440.0,10315.0,10375.0,171460.0
2015-11-04,10360.0,10520.0,10335.0,10510.0,188926.0
2015-11-05,10485.0,10650.0,10460.0,10560.0,307456.0
2015-11-06,10560.0,10625.0,10490.0,10545.0,204850.0
2015-11-09,10550.0,10635.0,10475.0,10550.0,227252.0
2015-11-10,10540.0,10575.0,10215.0,10270.0,367240.0
2015-11-11,10245.0,10280.0,10010.0,10035.0,449120.0
2015-11-12,10070.0,10180.0,10040.0,10130.0,207274.0
2015-11-13,10020.0,10195.0,9910.0,10150.0,266094.0
2015-11-16,10130.0,10245.0,10070.0,10105.0,197318.0
2015-11-17,10085.0,10145.0,9985.0,10070.0,288058.0
2015-11-18,10095.0,10155.0,9930.0,10025.0,246388.0
2015-11-19,10020.0,10020.0,9780.0,9820.0,300096.0
2015-11-20,9820.0,10090.0,9640.0,9935.0,486316.0
2015-11-23,9920.0,10010.0,9700.0,9810.0,190074.0
2015-11-24,9810.0,9815.0,9550.0,9710.0,254224.0
2015-11-25,9670.0,9900.0,9590.0,9805.0,237152.0
2015-11-26,9750.0,10140.0,9680.0,10140.0,339974.0
2015-11-27,10150.0,10405.0,10105.0,10365.0,413112.0
2015-11-30,10360.0,10400.0,9985.0,10050.0,384728.0
2015-12-01,10050.0,10160.0,9965.0,10110.0,249800.0
2015-12-02,10070.0,10395.0,10055.0,10190.0,338730.0
2015-12-03,10150.0,10285.0,10135.0,10180.0,273672.0
2015-12-04,10195.0,10305.0,10085.0,10270.0,415368.0
2015-12-07,10390.0,10430.0,10205.0,10290.0,390364.0
2015-12-08,10255.0,10385.0,10195.0,10330.0,428454.0
2015-12-09,10260.0,10510.0,10210.0,10455.0,444832.0
2015-12-10,10470.0,10600.0,10275.0,10375.0,697722.0
2015-12-11,10355.0,10680.0,10325.0,10665.0,497982.0
2015-12-14,10620.0,10705.0,10535.0,10590.0,441046.0
2015-12-15,10520.0,10650.0,10490.0,10500.0,366546.0
2015-12-16,10495.0,10550.0,10435.0,10485.0,275786.0
2015-12-17,10490.0,10590.0,10425.0,10495.0,187028.0
2015-12-18,10470.0,10670.0,10450.0,10635.0,151058.0
2015-12-21,10695.0,10810.0,10590.0,10790.0,152920.0
2015-12-22,10760.0,10855.0,10705.0,10770.0,117566.0
2015-12-23,10770.0,10865.0,10705.0,10830.0,123734.0
2015-12-24,10860.0,10920.0,10820.0,10885.0,150240.0
2015-12-25,10880.0,10910.0,10835.0,10885.0,117618.0
2015-12-28,10895.0,10900.0,10535.0,10555.0,253944.0
2015-12-29,10530.0,10720.0,10530.0,10705.0,237756.0
2015-12-30,10745.0,10875.0,10715.0,10785.0,230546.0
2015-12-31,10740.0,10880.0,10730.0,10820.0,171442.0
2016-01-04,10850.0,10850.0,10605.0,10630.0,218568.0
2016-01-05,10600.0,10780.0,10565.0,10770.0,262764.0
2016-01-06,10720.0,10745.0,10640.0,10685.0,203524.0
2016-01-07,10665.0,10725.0,10610.0,10675.0,233816.0
2016-01-08,10660.0,10765.0,10590.0,10745.0,293130.0
2016-01-11,10745.0,10890.0,10740.0,10815.0,354386.0
2016-01-12,10805.0,10860.0,10565.0,10580.0,455630.0
2016-01-13,10605.0,10660.0,10500.0,10595.0,425636.0
2016-01-14,10565.0,10770.0,10555.0,10700.0,279564.0
2016-01-15,10695.0,10750.0,10645.0,10650.0,194338.0
2016-01-18,10630.0,10795.0,10625.0,10725.0,179042.0
2016-01-19,10715.0,10815.0,10700.0,10810.0,154372.0
2016-01-20,10810.0,10820.0,10650.0,10690.0,176180.0
2016-01-21,10685.0,10695.0,10615.0,10655.0,121300.0
2016-01-22,10675.0,10815.0,10650.0,10815.0,198820.0
2016-01-25,10835.0,10950.0,10680.0,10710.0,191878.0
2016-01-26,10725.0,10750.0,10685.0,10725.0,84460.0
2016-01-27,10750.0,10835.0,10720.0,10785.0,111832.0
2016-01-28,10815.0,10870.0,10745.0,10760.0,86776.0
