,NI.LME_open,NI.LME_high,NI.LME_low,NI.LME_close,NI.LME_volume
2017-12-28,12065.0,12420.0,11950.0,12350.0,7459.0
2017-12-29,12340.0,12340.0,12160.0,12240.0,2144.0
2018-01-02,12700.0,12835.0,12480.0,12655.0,12225.0
2018-01-03,12650.0,12650.0,12350.0,12450.0,7425.0
2018-01-04,12470.0,12715.0,12375.0,12640.0,7546.0
2018-01-05,12635.0,12665.0,12430.0,12545.0,7082.0
2018-01-08,12580.0,12675.0,12340.0,12575.0,8394.0
2018-01-09,12580.0,12780.0,12520.0,12665.0,9118.0
2018-01-10,12665.0,13200.0,12650.0,12865.0,13067.0
2018-01-11,12875.0,12900.0,12585.0,12610.0,8452.0
2018-01-12,12580.0,12745.0,12565.0,12665.0,8671.0
2018-01-15,12670.0,12975.0,12670.0,12865.0,5847.0
2018-01-16,12875.0,12875.0,12190.0,12550.0,13393.0
2018-01-17,12560.0,12595.0,12380.0,12410.0,7527.0
2018-01-18,12400.0,12600.0,12380.0,12465.0,6713.0
2018-01-19,12480.0,12755.0,12360.0,12680.0,10409.0
2018-01-22,12690.0,12845.0,12650.0,12745.0,7332.0
2018-01-23,12750.0,12900.0,12575.0,12820.0,9224.0
2018-01-24,12835.0,13665.0,12725.0,13535.0,17372.0
2018-01-25,13520.0,13915.0,13470.0,13720.0,14396.0
2018-01-26,13655.0,13825.0,13540.0,13635.0,9110.0
2018-01-29,13640.0,14040.0,13640.0,13845.0,7844.0
2018-01-30,13860.0,13910.0,13300.0,13395.0,12603.0
2018-01-31,13410.0,13625.0,13345.0,13490.0,8254.0
2018-02-01,13505.0,14030.0,13415.0,13955.0,9045.0
2018-02-02,13960.0,13975.0,13185.0,13505.0,13296.0
2018-02-05,13480.0,13820.0,13300.0,13670.0,11224.0
2018-02-06,13645.0,13645.0,13255.0,13340.0,11841.0
2018-02-07,13425.0,13720.0,13150.0,13175.0,11686.0
2018-02-08,13200.0,13320.0,12840.0,13180.0,12948.0
2018-02-09,13150.0,13150.0,12755.0,12960.0,9590.0
2018-02-12,13020.0,13170.0,12965.0,13105.0,7205.0
2018-02-13,13100.0,13570.0,13085.0,13425.0,8984.0
2018-02-14,13470.0,14135.0,13410.0,13980.0,9075.0
2018-02-22,13705.0,13840.0,13390.0,13820.0,7853.0
2018-02-23,13800.0,13870.0,13670.0,13740.0,4838.0
2018-02-26,13755.0,14065.0,13660.0,13935.0,10127.0
2018-02-27,13920.0,14030.0,13700.0,13840.0,7147.0
2018-02-28,13810.0,13885.0,13720.0,13745.0,7084.0
2018-03-01,13725.0,13830.0,13300.0,13395.0,14081.0
2018-03-02,13440.0,13520.0,13305.0,13485.0,5346.0
2018-03-05,13485.0,13525.0,13220.0,13400.0,6659.0
2018-03-06,13420.0,13705.0,13400.0,13640.0,6374.0
2018-03-07,13610.0,13615.0,13350.0,13530.0,8289.0
2018-03-08,13515.0,13565.0,13130.0,13200.0,10013.0
2018-03-09,13220.0,13900.0,13120.0,13820.0,13649.0
2018-03-12,13810.0,13845.0,13650.0,13690.0,8049.0
2018-03-13,13715.0,13920.0,13620.0,13885.0,8791.0
2018-03-14,13865.0,14030.0,13750.0,13785.0,8386.0
2018-03-15,13745.0,13845.0,13520.0,13600.0,4065.0
2018-03-16,13605.0,13790.0,13515.0,13590.0,5160.0
2018-03-19,13580.0,13590.0,13355.0,13480.0,6784.0
2018-03-20,13490.0,13610.0,13380.0,13460.0,6756.0
2018-03-21,13480.0,13575.0,13210.0,13515.0,9917.0
2018-03-22,13545.0,13655.0,13060.0,13170.0,11440.0
2018-03-23,13165.0,13265.0,12900.0,12950.0,10570.0
2018-03-26,12930.0,13090.0,12820.0,13005.0,8951.0
2018-03-27,13040.0,13215.0,12930.0,12960.0,7298.0
2018-03-28,12960.0,13140.0,12870.0,13045.0,9234.0
2018-03-29,13065.0,13415.0,13020.0,13390.0,7312.0
2018-03-30,,,,13390.0,
2018-04-02,,,,13390.0,
2018-04-03,13460.0,13660.0,13415.0,13510.0,9483.0
2018-04-04,13505.0,13540.0,12980.0,13155.0,10650.0
2018-04-09,13310.0,13500.0,13095.0,13445.0,9501.0
2018-04-10,13450.0,13800.0,13405.0,13730.0,10443.0
2018-04-11,13730.0,13900.0,13565.0,13825.0,9339.0
2018-04-12,13820.0,13850.0,13475.0,13770.0,9264.0
2018-04-13,13770.0,14080.0,13705.0,13905.0,11242.0
2018-04-16,13925.0,14375.0,13860.0,14200.0,13207.0
2018-04-17,14180.0,14335.0,13875.0,14315.0,14707.0
2018-04-18,14300.0,15875.0,14205.0,15305.0,23619.0
2018-04-19,15325.0,16690.0,14810.0,15025.0,25568.0
2018-04-20,14955.0,15235.0,14530.0,14855.0,8796.0
2018-04-23,14875.0,14880.0,13830.0,14280.0,11166.0
2018-04-24,14220.0,14450.0,14030.0,14090.0,6568.0
2018-04-25,14035.0,14245.0,13940.0,14185.0,4560.0
2018-04-26,14185.0,14300.0,13920.0,14290.0,6114.0
2018-04-27,14255.0,14300.0,13805.0,13875.0,5988.0
2018-05-02,13795.0,14040.0,13795.0,13965.0,6312.0
2018-05-03,13935.0,14200.0,13770.0,13905.0,6860.0
2018-05-04,13905.0,14065.0,13810.0,13950.0,4139.0
2018-05-07,,,,13950.0,
2018-05-08,13980.0,14110.0,13745.0,13910.0,5954.0
2018-05-09,13955.0,13955.0,13760.0,13945.0,4136.0
2018-05-10,13925.0,13950.0,13795.0,13850.0,3938.0
2018-05-11,13875.0,14125.0,13780.0,14030.0,5452.0
2018-05-14,14050.0,14520.0,14035.0,14475.0,8875.0
2018-05-15,14465.0,14660.0,14205.0,14475.0,8347.0
2018-05-16,14475.0,14635.0,14360.0,14450.0,4586.0
2018-05-17,14455.0,14750.0,14455.0,14595.0,6864.0
2018-05-18,14605.0,14870.0,14580.0,14635.0,7690.0
2018-05-21,14690.0,14740.0,14545.0,14730.0,3955.0
2018-05-22,14730.0,14835.0,14565.0,14815.0,5731.0
2018-05-23,14790.0,14795.0,14430.0,14605.0,8431.0
2018-05-24,14605.0,14935.0,14530.0,14885.0,6278.0
2018-05-25,14895.0,15055.0,14675.0,14740.0,7012.0
2018-05-28,,,,14740.0,
2018-05-29,14865.0,15020.0,14775.0,14845.0,8294.0
2018-05-30,14820.0,15190.0,14685.0,15070.0,9099.0
2018-05-31,15100.0,15370.0,15070.0,15295.0,7084.0
2018-06-01,15295.0,15690.0,15105.0,15410.0,11205.0
2018-06-04,15390.0,15515.0,15245.0,15500.0,8376.0
2018-06-05,15485.0,15810.0,15255.0,15755.0,7836.0
2018-06-06,15765.0,15845.0,15620.0,15640.0,6903.0
2018-06-07,15650.0,15840.0,15360.0,15420.0,8657.0
