指标名称,光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片,光伏经理人指数(SMI):全行业
2020-01-03,30.53,44.27,30.04,76.714323
2020-01-10,30.17,44.27,29.37,76.769458
2020-01-17,30.11,44.27,29.37,77.585457
2020-02-07,30.11,44.27,29.37,77.341643
2020-02-14,30.19,44.27,29.71,79.523868
2020-02-21,30.29,44.27,29.91,85.402225
2020-02-28,30.31,44.27,29.91,83.371104
2020-03-06,30.3,44.27,29.91,79.523868
2020-03-13,29.98,44.27,29.36,84.187946
2020-03-20,29.92,44.27,29.27,77.810697
2020-03-27,29.54,44.27,28.78,74.095891
2020-04-03,29.12,43.96,28.34,71.042555
2020-04-10,28.79,43.34,28.6,69.317731
2020-04-17,27.87,41.8,27.55,73.253316
2020-04-24,26.91,39.63,25.86,68.107969
2020-05-08,26.65,39.32,25.5,73.982476
2020-05-15,25.8,38.08,24.32,62.768287
2020-05-22,25.59,37.15,24.32,61.770763
2020-05-29,25.11,37.15,23.27,72.248578
2020-06-05,25.03,37.15,23.11,74.707341
2020-06-12,24.95,37.46,23.11,72.694948
2020-06-19,24.81,37.46,23.11,74.070343
2020-06-24,24.77,37.46,23.11,76.433451
2020-07-02,24.76,37.77,23.11,
2020-07-03,,,,81.197298
2020-07-10,24.78,38.08,23.11,80.33206
2020-07-17,24.73,38.08,23.11,81.923734
2020-07-24,25.54,42.41,23.52,86.496893
2020-07-31,28.41,52.01,26.2,88.892478
2020-08-07,29.89,55.11,28.9,90.20137
2020-08-14,31.32,56.66,30.36,92.122082
2020-08-21,31.77,60.06,30.36,90.608269
2020-08-28,32.44,62.54,31.25,94.228243
2020-09-04,32.52,63.47,31.25,94.561346
2020-09-11,32.52,63.47,31.25,101.822138
2020-09-18,32.52,63.47,31.25,106.040824
2020-09-25,32.16,60.68,31.25,106.421227
2020-09-30,32.18,60.06,31.25,111.311793
2020-10-14,32.01,58.82,31.25,118.696451
2020-10-16,32.01,58.82,31.25,118.696451
2020-10-23,31.98,58.2,31.08,110.996648
2020-10-28,31.98,58.2,31.08,110.996648
2020-11-02,31.58,57.59,30.67,117.809256
2020-11-09,31.53,56.35,30.67,115.540047
2020-11-16,31.35,55.11,30.67,113.929378
2020-11-23,31.26,54.49,30.67,113.553686
2020-11-30,30.98,52.94,30.42,117.39787
2020-12-07,30.74,52.01,30.25,114.820403
2020-12-14,30.56,50.77,30.25,122.370149
2020-12-21,30.55,51.08,30.25,134.158079
2020-12-28,30.63,51.7,30.25,151.028676
2021-01-04,30.47,52.01,29.84,144.81673
2021-01-11,30.58,52.94,29.84,154.079117
2021-01-18,30.57,53.87,29.84,144.99403
2021-01-25,30.61,54.49,29.84,156.027419
