指标名称,光伏行业综合价格指数(SPI):硅片,现货价(周平均价):多晶硅片(156mm×156mm)
2018-05-30,,0.415
2018-06-01,48.7,
2018-06-06,,0.378
2018-06-08,45.12,
2018-06-12,44.4,
2018-06-13,,0.366
2018-06-15,40.43,
2018-06-20,,0.336
2018-06-22,40.21,
2018-06-27,,0.318
2018-06-29,38.23,
2018-07-04,,0.308
2018-07-06,38.31,
2018-07-11,,0.306
2018-07-13,38.64,
2018-07-18,,0.306
2018-07-20,38.73,
2018-07-25,,0.304
2018-07-27,38.03,
2018-08-01,,0.303
2018-08-03,38.44,
2018-08-08,,0.317
2018-08-10,38.44,
2018-08-15,,0.317
2018-08-17,38.44,
2018-08-22,,0.308
2018-08-24,38.44,
2018-08-29,,0.302
2018-08-31,37.37,
2018-09-05,,0.298
2018-09-07,36.96,
2018-09-12,,0.292
2018-09-14,36.87,
2018-09-19,,0.286
2018-09-21,36.71,
2018-09-26,,0.283
2018-09-28,36.21,
2018-10-03,,0.28
2018-10-10,,0.277
2018-10-12,35.66,
2018-10-17,,0.274
2018-10-19,35.61,
2018-10-24,,0.271
2018-10-26,34.75,
2018-10-31,,0.27
2018-11-02,34.72,
2018-11-07,,0.27
2018-11-09,34.72,
2018-11-14,,0.269
2018-11-16,34.38,
2018-11-21,,0.268
2018-11-23,34.34,
2018-11-28,,0.27
2018-11-30,34.34,
2018-12-05,,0.272
2018-12-07,34.34,
2018-12-12,,0.273
2018-12-14,34.34,
2018-12-19,,0.273
2018-12-21,34.34,
2018-12-26,,0.274
2018-12-28,34.34,
2019-01-02,,0.272
2019-01-04,34.34,
2019-01-09,,0.272
2019-01-11,34.34,
2019-01-16,,0.272
2019-01-18,34.34,
2019-01-23,,0.271
2019-01-25,34.67,
2019-01-30,,0.274
2019-02-01,35.02,
2019-02-06,,0.274
2019-02-13,,0.274
2019-02-15,35.21,
2019-02-20,,0.274
2019-02-22,35.43,
2019-02-27,,0.276
2019-03-01,35.43,
2019-03-06,,0.276
2019-03-08,35.43,
2019-03-13,,0.276
2019-03-15,35.15,
2019-03-20,,0.276
2019-03-22,35.02,
2019-03-27,,0.274
2019-03-29,33.61,
2019-04-03,,0.273
2019-04-04,33.33,
2019-04-10,,0.271
2019-04-12,33.16,
2019-04-17,,0.269
2019-04-19,33.16,
2019-04-24,,0.266
2019-04-26,33.16,
2019-05-01,,0.266
2019-05-08,,0.265
2019-05-10,33.16,
2019-05-15,,0.262
2019-05-17,33.03,
2019-05-22,,0.26
2019-05-24,33.03,
2019-05-29,,0.26
2019-05-31,33.03,
2019-06-05,,0.26
2019-06-06,33.03,
2019-06-12,,0.26
2019-06-14,33.03,
2019-06-19,,0.26
2019-06-21,33.03,
2019-06-26,,0.258
2019-06-28,32.96,
2019-07-03,,0.257
2019-07-05,32.8,
2019-07-10,,0.255
2019-07-12,32.78,
2019-07-17,,0.252
2019-07-19,32.78,
2019-07-24,,0.249
2019-07-26,32.61,
2019-07-31,,0.248
2019-08-02,32.38,
2019-08-07,,0.244
2019-08-09,32.3,
2019-08-14,,0.243
2019-08-16,32.3,
2019-08-21,,0.239
2019-08-23,32.3,
2019-08-28,,0.234
2019-08-30,32.3,
2019-09-04,,0.232
2019-09-06,32.37,
2019-09-11,,0.232
2019-09-12,32.38,
2019-09-18,,0.232
2019-09-20,32.4,
2019-09-25,,0.232
2019-09-27,32.78,
2019-10-02,,0.232
2019-10-09,,0.232
2019-10-11,32.74,
2019-10-16,,0.232
2019-10-18,32.74,
2019-10-23,,0.231
2019-10-25,32.57,
2019-10-30,,0.228
2019-11-01,32.17,
2019-11-06,,0.228
2019-11-08,32.02,
2019-11-13,,0.222
2019-11-15,31.89,
2019-11-20,,0.212
2019-11-22,31.87,
2019-11-27,,0.205
2019-11-29,31.34,
2019-12-04,,0.194
2019-12-06,30.88,
2019-12-11,,0.192
2019-12-13,30.59,
2019-12-18,,0.192
2019-12-20,30.34,
2019-12-25,,0.183
2019-12-27,30.06,
2020-01-01,,0.178
2020-01-03,30.04,
2020-01-08,,0.174
2020-01-10,29.37,
2020-01-15,,0.164
2020-01-17,29.37,
2020-01-22,,0.16
2020-01-29,,0.16
2020-02-05,,0.16
2020-02-07,29.37,
2020-02-12,,0.16
2020-02-14,29.71,
2020-02-19,,0.159
2020-02-21,29.91,
2020-02-26,,0.159
2020-02-28,29.91,
2020-03-04,,0.159
2020-03-06,29.91,
2020-03-11,,0.159
2020-03-13,29.36,
2020-03-18,,0.155
2020-03-20,29.27,
2020-03-25,,0.15
2020-03-27,28.78,
2020-04-01,,0.147
2020-04-03,28.34,
2020-04-08,,0.144
2020-04-10,28.6,
2020-04-15,,0.142
2020-04-17,27.55,
2020-04-22,,0.136
2020-04-24,25.86,
2020-04-29,,0.133
2020-05-06,,0.128
2020-05-08,25.5,
2020-05-13,,0.125
2020-05-15,24.32,
2020-05-20,,0.123
2020-05-22,24.32,
2020-05-27,,0.118
2020-05-29,23.27,
2020-06-03,,0.115
2020-06-05,23.11,
2020-06-10,,0.113
2020-06-12,23.11,
2020-06-17,,0.113
2020-06-19,23.11,
2020-06-24,23.11,0.113
2020-07-01,,0.128
2020-07-02,23.11,
2020-07-08,,0.133
2020-07-10,23.11,
2020-07-15,,0.133
2020-07-17,23.11,
2020-07-22,,0.133
2020-07-24,23.52,
2020-07-29,,0.145
2020-07-31,26.2,
2020-08-05,,0.15
2020-08-07,28.9,
2020-08-12,,0.153
2020-08-14,30.36,
2020-08-19,,0.153
2020-08-21,30.36,
2020-08-26,,0.153
2020-08-28,31.25,
2020-09-02,,0.153
2020-09-04,31.25,
2020-09-09,,0.153
2020-09-11,31.25,
2020-09-16,,0.153
2020-09-18,31.25,
2020-09-23,,0.152
2020-09-25,31.25,
2020-09-30,31.25,0.151
2020-10-07,,0.151
2020-10-14,31.25,0.151
2020-10-16,31.25,
2020-10-21,,0.154
2020-10-23,31.08,
2020-10-28,31.08,0.153
2020-11-02,30.67,
2020-11-04,,0.152
2020-11-09,30.67,
2020-11-11,,0.153
2020-11-16,30.67,
2020-11-18,,0.154
2020-11-23,30.67,
2020-11-25,,0.153
2020-11-30,30.42,
2020-12-02,,0.152
2020-12-07,30.25,
2020-12-09,,0.152
2020-12-14,30.25,
2020-12-16,,0.152
2020-12-21,30.25,
2020-12-23,,0.152
2020-12-28,30.25,
