,RU.SHF_open,RU.SHF_high,RU.SHF_low,RU.SHF_close,RU.SHF_volume
2016-04-14,12480.0,12710.0,12470.0,12550.0,804540.0
2016-04-15,12580.0,12740.0,12310.0,12350.0,904940.0
2016-04-18,12320.0,12715.0,12260.0,12510.0,892652.0
2016-04-19,12570.0,12870.0,12470.0,12740.0,1080744.0
2016-04-20,12710.0,13295.0,12640.0,13170.0,1621426.0
2016-04-21,13130.0,13670.0,12950.0,13445.0,1390618.0
2016-04-22,13305.0,13480.0,12710.0,12930.0,1254392.0
2016-04-25,12960.0,13450.0,12825.0,13055.0,996268.0
2016-04-26,13065.0,13180.0,12865.0,13015.0,844072.0
2016-04-27,13055.0,13245.0,12745.0,12945.0,989580.0
2016-04-28,13000.0,13030.0,12585.0,12710.0,896656.0
2016-04-29,12730.0,12905.0,12665.0,12755.0,687952.0
2016-05-03,12600.0,13045.0,12550.0,13000.0,637296.0
2016-05-04,12960.0,13035.0,12620.0,12725.0,735482.0
2016-05-05,12745.0,12825.0,12360.0,12360.0,805118.0
2016-05-06,12435.0,12465.0,12150.0,12260.0,796520.0
2016-05-09,12290.0,12420.0,11685.0,11785.0,1046986.0
2016-05-10,11750.0,11960.0,11665.0,11895.0,801594.0
2016-05-11,11905.0,12035.0,11735.0,11875.0,759224.0
2016-05-12,11905.0,12015.0,11655.0,11800.0,899328.0
2016-05-13,11795.0,11820.0,11150.0,11245.0,1018986.0
2016-05-16,11215.0,11370.0,11110.0,11240.0,697416.0
2016-05-17,11265.0,11390.0,11230.0,11355.0,590762.0
2016-05-18,11320.0,11480.0,11035.0,11100.0,884950.0
2016-05-19,11100.0,11180.0,10810.0,10845.0,802596.0
2016-05-20,10795.0,10955.0,10755.0,10860.0,641670.0
2016-05-23,10875.0,10920.0,10210.0,10295.0,890038.0
2016-05-24,10320.0,10395.0,10220.0,10330.0,540920.0
2016-05-25,10440.0,10455.0,10170.0,10255.0,622680.0
2016-05-26,10320.0,10615.0,10270.0,10600.0,702878.0
2016-05-27,10600.0,10685.0,10325.0,10535.0,833422.0
2016-05-30,10510.0,10625.0,10390.0,10555.0,653852.0
2016-05-31,10595.0,10700.0,10440.0,10455.0,707822.0
2016-06-01,10420.0,10460.0,10200.0,10245.0,662828.0
2016-06-02,10240.0,10470.0,10145.0,10445.0,622626.0
2016-06-03,10415.0,10575.0,10400.0,10515.0,604786.0
2016-06-06,10595.0,10735.0,10470.0,10705.0,644022.0
2016-06-07,10710.0,10750.0,10515.0,10560.0,536642.0
2016-06-08,10550.0,10575.0,10300.0,10455.0,618652.0
2016-06-13,10355.0,10660.0,10275.0,10535.0,538800.0
2016-06-14,10500.0,10700.0,10350.0,10355.0,718564.0
2016-06-15,10355.0,10465.0,10315.0,10410.0,562794.0
2016-06-16,10460.0,10595.0,10425.0,10500.0,623540.0
2016-06-17,10490.0,10945.0,10320.0,10935.0,1034276.0
2016-06-20,10945.0,11025.0,10860.0,10975.0,733772.0
2016-06-21,10985.0,11085.0,10765.0,10835.0,690966.0
2016-06-22,10805.0,11160.0,10800.0,11150.0,661248.0
2016-06-23,11165.0,11195.0,10960.0,11035.0,613858.0
2016-06-24,11100.0,11145.0,10775.0,10845.0,880730.0
2016-06-27,10860.0,11355.0,10850.0,11270.0,791246.0
2016-06-28,11210.0,11405.0,11110.0,11310.0,766214.0
2016-06-29,11360.0,11425.0,11160.0,11250.0,716572.0
2016-06-30,11230.0,11520.0,11210.0,11425.0,786070.0
2016-07-01,11410.0,11620.0,11305.0,11450.0,770478.0
2016-07-04,11445.0,12135.0,11435.0,12075.0,960566.0
2016-07-05,12100.0,12210.0,11590.0,11840.0,873444.0
2016-07-06,11800.0,11955.0,11170.0,11170.0,897476.0
2016-07-07,11060.0,11380.0,10975.0,10985.0,755692.0
2016-07-08,11010.0,11135.0,10540.0,10680.0,763910.0
2016-07-11,10780.0,10960.0,10615.0,10880.0,584888.0
2016-07-12,10930.0,11100.0,10810.0,11000.0,707402.0
2016-07-13,11065.0,11495.0,10965.0,11140.0,988942.0
2016-07-14,11190.0,11250.0,10875.0,11210.0,785032.0
2016-07-15,11450.0,11550.0,11240.0,11405.0,917242.0
2016-07-18,11465.0,11475.0,11100.0,11185.0,661324.0
2016-07-19,11130.0,11385.0,11030.0,11355.0,755998.0
2016-07-20,11360.0,11660.0,11310.0,11445.0,920826.0
2016-07-21,11435.0,11715.0,11320.0,11630.0,761156.0
2016-07-22,11600.0,11695.0,11395.0,11420.0,603388.0
2016-07-25,11430.0,11490.0,11055.0,11175.0,690816.0
2016-07-26,11120.0,11185.0,10955.0,11145.0,590852.0
2016-07-27,11140.0,11340.0,11105.0,11180.0,545148.0
2016-07-28,11250.0,11320.0,11070.0,11255.0,559444.0
2016-07-29,11270.0,11310.0,10800.0,10845.0,602076.0
2016-08-01,10875.0,11060.0,10815.0,10985.0,397280.0
2016-08-02,10950.0,10995.0,10835.0,10930.0,265048.0
2016-08-03,12700.0,12930.0,12620.0,12665.0,568464.0
2016-08-04,12700.0,12770.0,12355.0,12535.0,608516.0
2016-08-05,12510.0,12800.0,12475.0,12700.0,576574.0
2016-08-08,12695.0,13010.0,12635.0,12810.0,689138.0
2016-08-09,12840.0,12955.0,12300.0,12615.0,717286.0
2016-08-10,12595.0,12720.0,12515.0,12660.0,547046.0
2016-08-11,12710.0,12780.0,12565.0,12690.0,545318.0
2016-08-12,12680.0,13075.0,12680.0,13035.0,753024.0
2016-08-15,12985.0,13190.0,12845.0,13140.0,692068.0
2016-08-16,13135.0,13240.0,13000.0,13100.0,661448.0
2016-08-17,13100.0,13270.0,13045.0,13065.0,629406.0
2016-08-18,13090.0,13115.0,12850.0,12975.0,584956.0
2016-08-19,13010.0,13190.0,12975.0,13085.0,608632.0
2016-08-22,13065.0,13090.0,12620.0,12630.0,640404.0
2016-08-23,12600.0,12730.0,12525.0,12530.0,420084.0
2016-08-24,12535.0,12705.0,12525.0,12615.0,384478.0
2016-08-25,12640.0,12670.0,12190.0,12315.0,618014.0
2016-08-26,12330.0,12380.0,12245.0,12300.0,391206.0
2016-08-29,12345.0,12415.0,12110.0,12355.0,486948.0
2016-08-30,12345.0,12495.0,12240.0,12260.0,494962.0
2016-08-31,12270.0,12315.0,12010.0,12055.0,562984.0
2016-09-01,12020.0,12400.0,12020.0,12375.0,533510.0
2016-09-02,12375.0,12530.0,12335.0,12390.0,477010.0
2016-09-05,12435.0,12650.0,12390.0,12570.0,409020.0
2016-09-06,12595.0,12600.0,12435.0,12580.0,364774.0
2016-09-07,12525.0,12700.0,12450.0,12645.0,540234.0
2016-09-08,12665.0,12815.0,12570.0,12775.0,480908.0
2016-09-09,12750.0,12860.0,12710.0,12775.0,439644.0
2016-09-12,12745.0,12760.0,12320.0,12360.0,565118.0
2016-09-13,12390.0,12495.0,12350.0,12440.0,349844.0
2016-09-14,12490.0,12595.0,12385.0,12530.0,416298.0
2016-09-19,12605.0,13025.0,12405.0,13010.0,531074.0
2016-09-20,13020.0,13250.0,13000.0,13225.0,539172.0
2016-09-21,13280.0,13305.0,13115.0,13225.0,433294.0
2016-09-22,13240.0,13680.0,13150.0,13475.0,809414.0
2016-09-23,13510.0,13590.0,13350.0,13550.0,513792.0
2016-09-26,13535.0,13600.0,13305.0,13450.0,493918.0
2016-09-27,13380.0,13400.0,13100.0,13295.0,559048.0
2016-09-28,13245.0,13540.0,13185.0,13460.0,660858.0
2016-09-29,13440.0,13800.0,13275.0,13325.0,761750.0
2016-09-30,13325.0,13370.0,13170.0,13255.0,409922.0
2016-10-10,13600.0,13925.0,13475.0,13835.0,503364.0
2016-10-11,13865.0,14245.0,13850.0,14205.0,672820.0
2016-10-12,14100.0,14300.0,14060.0,14165.0,497472.0
2016-10-13,14105.0,14255.0,13920.0,14025.0,622646.0
2016-10-14,13980.0,14520.0,13945.0,14385.0,678166.0
2016-10-17,14405.0,14535.0,14235.0,14300.0,596490.0
2016-10-18,14300.0,14375.0,14125.0,14340.0,552662.0
2016-10-19,14330.0,14360.0,13605.0,13760.0,785038.0
2016-10-20,13765.0,13900.0,13720.0,13795.0,514844.0
2016-10-21,13790.0,13825.0,13450.0,13660.0,549628.0
2016-10-24,13700.0,14020.0,13665.0,13905.0,535214.0
2016-10-25,13925.0,14310.0,13905.0,13985.0,642340.0
2016-10-26,14015.0,14070.0,13580.0,14020.0,717604.0
2016-10-27,13980.0,14255.0,13800.0,14155.0,852286.0
2016-10-28,14190.0,14425.0,14050.0,14155.0,754884.0
2016-10-31,14175.0,14345.0,13955.0,14225.0,668728.0
2016-11-01,14210.0,14380.0,14015.0,14100.0,568710.0
2016-11-02,14120.0,14230.0,13715.0,13785.0,605094.0
2016-11-03,13800.0,13925.0,13650.0,13865.0,401104.0
2016-11-04,13890.0,14175.0,13670.0,13760.0,596990.0
2016-11-07,13790.0,14770.0,13740.0,14505.0,797342.0
2016-11-08,14480.0,15115.0,14380.0,15115.0,843170.0
2016-11-09,15135.0,15700.0,15085.0,15290.0,709964.0
2016-11-10,15430.0,16020.0,14875.0,15920.0,813140.0
2016-11-11,16100.0,16465.0,15610.0,16390.0,544784.0
2016-11-14,16265.0,16945.0,15070.0,15335.0,689904.0
2016-11-15,15500.0,15985.0,15165.0,15620.0,580922.0
2016-11-16,15715.0,16540.0,15675.0,16540.0,539372.0
2016-11-17,16540.0,16665.0,16250.0,16505.0,465778.0
2016-11-18,16470.0,16515.0,15890.0,16185.0,394386.0
2016-11-21,16720.0,17645.0,16535.0,17645.0,185836.0
2016-11-22,17855.0,18450.0,17820.0,18065.0,304346.0
2016-11-23,17665.0,18265.0,17650.0,18085.0,250598.0
2016-11-24,18045.0,18935.0,17980.0,18270.0,469008.0
2016-11-25,18285.0,18680.0,17965.0,18420.0,378250.0
2016-11-28,18250.0,19615.0,18170.0,19390.0,626036.0
2016-11-29,19260.0,19495.0,18555.0,18740.0,588320.0
2016-11-30,18785.0,18860.0,17775.0,17775.0,566424.0
2016-12-01,18090.0,18440.0,17745.0,18085.0,660444.0
2016-12-02,18155.0,18325.0,17360.0,18015.0,641480.0
2016-12-05,18020.0,18725.0,17870.0,18590.0,543740.0
2016-12-06,18700.0,18870.0,18410.0,18565.0,407034.0
2016-12-07,18545.0,19050.0,18420.0,19030.0,468948.0
2016-12-08,19050.0,19500.0,18505.0,18630.0,584688.0
2016-12-09,18720.0,19210.0,18200.0,19085.0,636886.0
2016-12-12,19285.0,19965.0,18930.0,19345.0,566406.0
2016-12-13,19360.0,20115.0,19250.0,20110.0,534588.0
2016-12-14,20500.0,20580.0,19780.0,20310.0,589534.0
2016-12-15,20480.0,20520.0,19715.0,20015.0,645756.0
2016-12-16,19900.0,20300.0,19600.0,19700.0,469050.0
2016-12-19,19645.0,19930.0,19500.0,19520.0,416462.0
2016-12-20,19400.0,19470.0,18705.0,19090.0,592814.0
2016-12-21,19190.0,19450.0,19000.0,19360.0,434458.0
2016-12-22,19300.0,19425.0,18485.0,18540.0,482270.0
2016-12-23,18530.0,18830.0,18350.0,18665.0,465860.0
2016-12-26,18665.0,18755.0,17360.0,17660.0,548646.0
2016-12-27,17660.0,17965.0,17200.0,17930.0,506572.0
2016-12-28,18010.0,18345.0,17675.0,17705.0,491830.0
2016-12-29,17785.0,18385.0,17515.0,18315.0,494982.0
2016-12-30,18250.0,18450.0,17905.0,18350.0,412746.0
2017-01-03,18380.0,18875.0,18305.0,18360.0,352158.0
2017-01-04,18455.0,18650.0,17820.0,18530.0,581234.0
2017-01-05,18500.0,18550.0,18070.0,18075.0,505940.0
2017-01-06,18110.0,18260.0,17810.0,17855.0,443232.0
2017-01-09,17860.0,18995.0,17825.0,18970.0,525384.0
2017-01-10,18985.0,19350.0,18870.0,19270.0,486934.0
2017-01-11,19340.0,19635.0,19155.0,19555.0,453522.0
2017-01-12,19530.0,20475.0,19470.0,20295.0,673560.0
2017-01-13,20110.0,20620.0,20110.0,20330.0,536300.0
2017-01-16,20285.0,21730.0,20240.0,21515.0,579418.0
2017-01-17,21490.0,21760.0,20830.0,21250.0,574236.0
2017-01-18,21350.0,21595.0,20930.0,21295.0,539832.0
2017-01-19,21295.0,21435.0,20970.0,21155.0,479118.0
2017-01-20,21110.0,21190.0,19735.0,19735.0,732102.0
2017-01-23,19785.0,20235.0,19715.0,19845.0,379200.0
2017-01-24,19850.0,20420.0,19535.0,20240.0,489532.0
2017-01-25,20310.0,20455.0,19975.0,20220.0,349688.0
2017-01-26,20360.0,21475.0,20300.0,21475.0,442654.0
2017-02-03,21475.0,21480.0,19925.0,20175.0,338534.0
2017-02-06,20175.0,20365.0,19880.0,20080.0,347538.0
2017-02-07,20130.0,20730.0,19955.0,20680.0,516704.0
2017-02-08,20645.0,21030.0,20450.0,20725.0,438590.0
2017-02-09,20730.0,20925.0,20400.0,20585.0,421226.0
2017-02-10,20480.0,21350.0,20410.0,20970.0,529878.0
2017-02-13,21050.0,22135.0,21025.0,22005.0,536406.0
2017-02-14,21995.0,22070.0,21610.0,22015.0,362700.0
2017-02-15,21950.0,22310.0,21390.0,21550.0,536040.0
2017-02-16,21480.0,21780.0,20225.0,20320.0,638776.0
2017-02-17,20395.0,20635.0,20025.0,20380.0,513092.0
2017-02-20,20405.0,20525.0,19750.0,20300.0,490040.0
2017-02-21,20400.0,20700.0,19915.0,20090.0,525568.0
2017-02-22,20000.0,20160.0,19620.0,20040.0,529904.0
