,L.DCE_open,L.DCE_high,L.DCE_low,L.DCE_close,L.DCE_volume
2018-09-25,9515.0,9575.0,9500.0,9545.0,267072.0
2018-09-26,9550.0,9570.0,9350.0,9445.0,450830.0
2018-09-27,9445.0,9500.0,9420.0,9470.0,203000.0
2018-09-28,9435.0,9505.0,9420.0,9500.0,139110.0
2018-10-08,9525.0,9720.0,9525.0,9715.0,292010.0
2018-10-09,9755.0,9840.0,9705.0,9825.0,315066.0
2018-10-10,9805.0,9825.0,9640.0,9670.0,374178.0
2018-10-11,9575.0,9605.0,9485.0,9535.0,336396.0
2018-10-12,9540.0,9575.0,9500.0,9565.0,176286.0
2018-10-15,9580.0,9590.0,9515.0,9520.0,140056.0
2018-10-16,9510.0,9540.0,9335.0,9400.0,367028.0
2018-10-17,9400.0,9435.0,9365.0,9385.0,169482.0
2018-10-18,9350.0,9425.0,9330.0,9415.0,199380.0
2018-10-19,9410.0,9465.0,9405.0,9420.0,194348.0
2018-10-22,9430.0,9505.0,9425.0,9445.0,220810.0
2018-10-23,9440.0,9470.0,9430.0,9430.0,119236.0
2018-10-24,9395.0,9475.0,9385.0,9465.0,191424.0
2018-10-25,9445.0,9460.0,9280.0,9335.0,289278.0
2018-10-26,9345.0,9375.0,9250.0,9285.0,211322.0
2018-10-29,9310.0,9325.0,9125.0,9165.0,299814.0
2018-10-30,9170.0,9205.0,9070.0,9105.0,168442.0
2018-10-31,9105.0,9150.0,9015.0,9055.0,312106.0
2018-11-01,9045.0,9065.0,8920.0,8965.0,290464.0
2018-11-02,8950.0,9135.0,8905.0,9115.0,304784.0
2018-11-05,9120.0,9165.0,9105.0,9125.0,210238.0
2018-11-06,9125.0,9150.0,9015.0,9085.0,233174.0
2018-11-07,9075.0,9100.0,9010.0,9070.0,197492.0
2018-11-08,9085.0,9145.0,9050.0,9075.0,176562.0
2018-11-09,9075.0,9090.0,8935.0,8960.0,301296.0
2018-11-12,8960.0,8990.0,8840.0,8860.0,302526.0
2018-11-13,8840.0,9015.0,8830.0,8960.0,233612.0
2018-11-14,8875.0,9030.0,8815.0,9030.0,370732.0
2018-11-15,9045.0,9080.0,9010.0,9060.0,256460.0
2018-11-16,8650.0,8750.0,8605.0,8655.0,132950.0
2018-11-19,8650.0,8700.0,8625.0,8645.0,70058.0
2018-11-20,8630.0,8690.0,8535.0,8540.0,104800.0
2018-11-21,8435.0,8630.0,8335.0,8600.0,175476.0
2018-11-22,8600.0,8600.0,8450.0,8460.0,94354.0
2018-11-23,8445.0,8480.0,8250.0,8250.0,187982.0
2018-11-26,8200.0,8250.0,8150.0,8170.0,200104.0
2018-11-27,8205.0,8255.0,8130.0,8150.0,133732.0
2018-11-28,8190.0,8305.0,8180.0,8295.0,175012.0
2018-11-29,8275.0,8315.0,8245.0,8270.0,138116.0
2018-11-30,8310.0,8340.0,8275.0,8340.0,142222.0
2018-12-03,8400.0,8510.0,8335.0,8360.0,313114.0
2018-12-04,8370.0,8435.0,8355.0,8425.0,220446.0
2018-12-05,8390.0,8470.0,8315.0,8460.0,322636.0
2018-12-06,8455.0,8525.0,8415.0,8445.0,275946.0
2018-12-07,8470.0,8505.0,8420.0,8500.0,235924.0
2018-12-10,8500.0,8580.0,8450.0,8480.0,264094.0
2018-12-11,8450.0,8460.0,8330.0,8355.0,263302.0
2018-12-12,8385.0,8425.0,8360.0,8375.0,170098.0
2018-12-13,8360.0,8480.0,8360.0,8480.0,207314.0
2018-12-14,8520.0,8540.0,8460.0,8515.0,197694.0
2018-12-17,8460.0,8595.0,8460.0,8575.0,177366.0
2018-12-18,8525.0,8655.0,8520.0,8630.0,231746.0
2018-12-19,8550.0,8715.0,8535.0,8695.0,389864.0
2018-12-20,8700.0,8740.0,8540.0,8620.0,357534.0
2018-12-21,8595.0,8630.0,8545.0,8605.0,229704.0
2018-12-24,8560.0,8595.0,8485.0,8495.0,278570.0
2018-12-25,8430.0,8460.0,8380.0,8440.0,299048.0
2018-12-26,8455.0,8520.0,8430.0,8485.0,224866.0
2018-12-27,8600.0,8620.0,8540.0,8570.0,248718.0
2018-12-28,8550.0,8615.0,8540.0,8600.0,194432.0
2019-01-02,8620.0,8625.0,8460.0,8490.0,260384.0
2019-01-03,8540.0,8555.0,8450.0,8480.0,226280.0
2019-01-04,8500.0,8650.0,8470.0,8645.0,348942.0
2019-01-07,8655.0,8685.0,8620.0,8655.0,263938.0
2019-01-08,8670.0,8675.0,8585.0,8595.0,225704.0
2019-01-09,8620.0,8655.0,8565.0,8565.0,274712.0
2019-01-10,8600.0,8610.0,8520.0,8535.0,248736.0
2019-01-11,8540.0,8615.0,8525.0,8610.0,212544.0
2019-01-14,8610.0,8645.0,8555.0,8580.0,273570.0
2019-01-15,8585.0,8590.0,8535.0,8575.0,208778.0
2019-01-16,8590.0,8695.0,8535.0,8655.0,323388.0
2019-01-17,8655.0,8710.0,8640.0,8680.0,241358.0
2019-01-18,8710.0,8785.0,8680.0,8780.0,296648.0
2019-01-21,8810.0,8830.0,8740.0,8790.0,312004.0
2019-01-22,8800.0,8830.0,8690.0,8695.0,322594.0
2019-01-23,8690.0,8735.0,8660.0,8725.0,191404.0
2019-01-24,8735.0,8735.0,8640.0,8685.0,201706.0
2019-01-25,8700.0,8770.0,8690.0,8700.0,253122.0
2019-01-28,8720.0,8730.0,8655.0,8665.0,194588.0
2019-01-29,8640.0,8655.0,8580.0,8610.0,236234.0
2019-01-30,8625.0,8785.0,8620.0,8735.0,347332.0
2019-01-31,8770.0,8800.0,8745.0,8785.0,172622.0
2019-02-01,8745.0,8815.0,8745.0,8780.0,172324.0
2019-02-11,8775.0,8810.0,8565.0,8585.0,338078.0
2019-02-12,8605.0,8635.0,8580.0,8595.0,211340.0
2019-02-13,8585.0,8595.0,8485.0,8490.0,303744.0
2019-02-14,8500.0,8575.0,8490.0,8565.0,193980.0
2019-02-15,8560.0,8585.0,8445.0,8505.0,276054.0
2019-02-18,8550.0,8575.0,8480.0,8535.0,248124.0
2019-02-19,8555.0,8700.0,8535.0,8695.0,325832.0
2019-02-20,8700.0,8750.0,8670.0,8730.0,246556.0
2019-02-21,8765.0,8770.0,8660.0,8690.0,217030.0
2019-02-22,8685.0,8730.0,8680.0,8705.0,153114.0
2019-02-25,8710.0,8725.0,8625.0,8635.0,196932.0
2019-02-26,8615.0,8690.0,8595.0,8690.0,156712.0
2019-02-27,8695.0,8700.0,8590.0,8615.0,173884.0
2019-02-28,8635.0,8635.0,8555.0,8580.0,222262.0
2019-03-01,8605.0,8735.0,8570.0,8730.0,301364.0
2019-03-04,8705.0,8820.0,8685.0,8750.0,386054.0
2019-03-05,8745.0,8770.0,8715.0,8720.0,219242.0
2019-03-06,8700.0,8790.0,8700.0,8785.0,225526.0
2019-03-07,8780.0,8795.0,8705.0,8710.0,198338.0
2019-03-08,8690.0,8700.0,8640.0,8650.0,193738.0
2019-03-11,8655.0,8690.0,8605.0,8655.0,209130.0
